mouse_gene,human_gene,crispr_tier,total_score,exclusion_reason
Psmd2,PSMD2,B_primary_reproducible,-0.3107093163123005,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Preb,PREB,B_primary_reproducible,-0.38658604752169357,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets
Eif3g,EIF3G,B_primary_reproducible,-0.5055504244352043,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Yju2,YJU2,B_primary_reproducible,-0.5730791802891599,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets
Gosr2,GOSR2,B_primary_reproducible,-0.6730044657002687,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets
Uxt,UXT,B_primary_reproducible,-0.7027743054574245,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets
Mat2a,MAT2A,B_primary_reproducible,-0.8208933503325189,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Kat8,KAT8,B_primary_reproducible,-0.8572458618500409,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion
Top1,TOP1,B_primary_reproducible,-0.9404880209350912,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; available compounds carry black-box warnings; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion
Polrmt,POLRMT,B_primary_reproducible,-0.982725184809496,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Ttc27,TTC27,B_primary_reproducible,-1.1000620806989805,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets
Ss18l2,SS18L2,B_primary_reproducible,-1.3322271510442099,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets
Uba1,UBA1,B_primary_reproducible,-1.429276619924377,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Tbcc,TBCC,B_primary_reproducible,-1.4348551752158758,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Efl1,EFL1,B_primary_reproducible,-1.4708745546169284,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
Uri1,URI1,B_primary_reproducible,-1.5713454177755783,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion
