endpoint,family,method,feeds_tier,timepoints,what_failure_looks_like,distinguishes_phenotypes,replicate_unit,blinded,substitute_for_length
MEF2C,hypertrophic output,immunostaining,descriptive,baseline; during exposure; immediate post; recovery; late recovery,,B,explant from an independent animal (bone nested within animal),True,False
MMP13,hypertrophic output,immunostaining and transcript,descriptive,baseline; during exposure; immediate post; recovery; late recovery,,B/F,explant from an independent animal (bone nested within animal),True,False
"COL2A1, intracellular vs extracellular",matrix,"immunostaining ratio, zone-resolved",TIER 2,baseline; during exposure; immediate post; recovery; late recovery,"retention rises - secretory stress, not anabolism",A vs trade-off,explant from an independent animal (bone nested within animal),True,False
ACAN,matrix,immunostaining and transcript,TIER 2,baseline; during exposure; immediate post; recovery; late recovery,falls,A,explant from an independent animal (bone nested within animal),True,False
proteoglycan content,matrix,safranin-O / GAG assay,TIER 2,immediate post; late recovery,matrix loss,A,explant from an independent animal (bone nested within animal),True,False
collagen secretion rate,matrix,pulse-labelled procollagen appearance in matrix,TIER 3,during exposure; recovery,secretion falls,A,explant from an independent animal (bone nested within animal),True,False
matrix organisation,matrix,polarised light / second-harmonic imaging,TIER 3,immediate post; late recovery,disorganised matrix,A vs F,explant from an independent animal (bone nested within animal),True,False
TUNEL,hazard,zone-resolved,TIER 2,baseline; during exposure; immediate post; recovery; late recovery,apoptosis rises,A vs trade-off,explant from an independent animal (bone nested within animal),True,False
necrosis,hazard,morphology plus viability stain,TIER 2,baseline; during exposure; immediate post; recovery; late recovery,core necrosis,A,explant from an independent animal (bone nested within animal),True,False
oxidative stress,hazard,DHE / 8-oxo-dG,TIER 2,during exposure; immediate post,,A,explant from an independent animal (bone nested within animal),True,False
ER stress,hazard,BiP/CHOP panel,TIER 2,during exposure; immediate post,secretory stress alongside collagen retention,A,explant from an independent animal (bone nested within animal),True,False
mineralisation-front progression,hazard,calcein double label,TIER 3,baseline; during exposure; immediate post; recovery; late recovery,front advances faster than columns are replenished,A vs C/F,explant from an independent animal (bone nested within animal),True,False
vascular invasion,hazard,not measurable in explant; in vivo phase only,not applicable,in vivo only,,C/F,explant from an independent animal (bone nested within animal),True,False
growth-plate disorganisation,hazard,blinded column-alignment score,TIER 2,baseline; during exposure; immediate post; recovery; late recovery,a longer but disorganised plate is not a gain,A vs F,explant from an independent animal (bone nested within animal),True,False
curvature and asymmetry,hazard,"stage-51 pipeline, per image",TIER 0/2,daily,bone bends rather than lengthens,A,explant from an independent animal (bone nested within animal),True,False
bulk or targeted RNA-seq,molecular,"whole explant, or zone-dissected where feasible",descriptive,immediate post; recovery,used for hypothesis generation and for stage 55; never as a hit criterion,—,explant from an independent animal (bone nested within animal),True,False
phosphoprotein panel,molecular,multiplexed phospho-immunoassay on lysate,descriptive,during exposure; immediate post,,—,explant from an independent animal (bone nested within animal),True,False
secreted-protein panel,molecular,conditioned-medium multiplex where feasible,descriptive,during exposure; recovery,,—,explant from an independent animal (bone nested within animal),True,False
