interface,protein_to_act_on,direction,modality,modality_mechanism,feasibility,directness,expected_tissue_penetration,engagement_biomarker,reversibility,systemic_liabilities,existing_probes_or_reagents,orderable_today,structures_available,best_resolution_angstrom,chembl_activities,verdict
proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,well matched to a PPI - one partner's binding element is the starting point,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,CANDIDATE MODALITY
proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,directly applicable - a soluble fragment of one partner sequesters the other,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,CANDIDATE MODALITY
proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,nucleic acid (siRNA / ASO),reduces synthesis of one partner,"technically available, but delivery to the growth plate is the unsolved part and systemic knockdown is exactly the whole-body exposure this programme is trying to avoid","indirect - acts on synthesis, one step removed from the protein",delivery to the nucleus of a chondrocyte in avascular matrix is the unsolved step; UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible but slow - knockdown persists past clearance of the agent,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,NOT APPLICABLE
proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,protein replacement,supplies more of the active enzyme directly,"not applicable - the target is an inhibitor or receptor, not a deficient enzyme",bypasses the interface entirely - supplies activity downstream,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible; duration set by the half-life of the supplied protein,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,NOT APPLICABLE
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,small molecule (orthosteric),occupies a defined pocket,plausible - there is a defined pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,small molecule (PPI blocker),"disrupts a large, flat protein-protein interface",not the relevant modality here,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,well matched - the target is extracellular and the interface is a protein surface,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,plausible for a ligand pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,not the relevant modality here,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,nucleic acid (siRNA / ASO),reduces synthesis of one partner,"technically available, but delivery to the growth plate is the unsolved part and systemic knockdown is exactly the whole-body exposure this programme is trying to avoid","indirect - acts on synthesis, one step removed from the protein",delivery to the nucleus of a chondrocyte in avascular matrix is the unsolved step; UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible but slow - knockdown persists past clearance of the agent,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
PAPP-A active site : IGFBP-4,PAPP-A,WRONG_DIRECTION,protein replacement,supplies more of the active enzyme directly,"not applicable - the target is an inhibitor or receptor, not a deficient enzyme",bypasses the interface entirely - supplies activity downstream,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible; duration set by the half-life of the supplied protein,receptor agonism throughout a broadly expressed receptor's distribution,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,3,3.13,0,EXCLUDED - WRONG DIRECTION
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,small molecule (orthosteric),occupies a defined pocket,poor - no orthosteric pocket at this interface,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,NOT APPLICABLE
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,small molecule (PPI blocker),"disrupts a large, flat protein-protein interface",no structure to design against,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,NOT APPLICABLE
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,possible in principle; no structure to guide epitope choice,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,NOT APPLICABLE
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,no structural starting point,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,NOT APPLICABLE
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,directly applicable - a soluble fragment of one partner sequesters the other,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,CANDIDATE MODALITY
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,nucleic acid (siRNA / ASO),reduces synthesis of one partner,"technically available, but delivery to the growth plate is the unsolved part and systemic knockdown is exactly the whole-body exposure this programme is trying to avoid","indirect - acts on synthesis, one step removed from the protein",delivery to the nucleus of a chondrocyte in avascular matrix is the unsolved step; UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible but slow - knockdown persists past clearance of the agent,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,NOT APPLICABLE
STC1 : PAPP-A / PAPP-A2,STC1,RIGHT_DIRECTION,protein replacement,supplies more of the active enzyme directly,"not applicable - the target is an inhibitor or receptor, not a deficient enzyme",bypasses the interface entirely - supplies activity downstream,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible; duration set by the half-life of the supplied protein,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,0,,0,NOT APPLICABLE
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,small molecule (orthosteric),occupies a defined pocket,plausible - there is a defined pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,small molecule (PPI blocker),"disrupts a large, flat protein-protein interface",not the relevant modality here,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,NOT APPLICABLE
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,well matched - the target is extracellular and the interface is a protein surface,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,plausible for a ligand pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,directly applicable - a soluble fragment of one partner sequesters the other,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,nucleic acid (siRNA / ASO),reduces synthesis of one partner,"technically available, but delivery to the growth plate is the unsolved part and systemic knockdown is exactly the whole-body exposure this programme is trying to avoid","indirect - acts on synthesis, one step removed from the protein",delivery to the nucleus of a chondrocyte in avascular matrix is the unsolved step; UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible but slow - knockdown persists past clearance of the agent,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,NOT APPLICABLE
NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,protein replacement,supplies more of the active enzyme directly,"not applicable - the target is an inhibitor or receptor, not a deficient enzyme",bypasses the interface entirely - supplies activity downstream,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible; duration set by the half-life of the supplied protein,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,NOT APPLICABLE
NPR2 : CNP,NPR2,RIGHT_DIRECTION,small molecule (orthosteric),occupies a defined pocket,plausible - there is a defined pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,CANDIDATE MODALITY
NPR2 : CNP,NPR2,RIGHT_DIRECTION,small molecule (PPI blocker),"disrupts a large, flat protein-protein interface",not the relevant modality here,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,NOT APPLICABLE
NPR2 : CNP,NPR2,RIGHT_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,possible in principle; no structure to guide epitope choice,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,NOT APPLICABLE
NPR2 : CNP,NPR2,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,plausible for a ligand pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,CANDIDATE MODALITY
NPR2 : CNP,NPR2,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,not the relevant modality here,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,NOT APPLICABLE
NPR2 : CNP,NPR2,RIGHT_DIRECTION,nucleic acid (siRNA / ASO),reduces synthesis of one partner,"technically available, but delivery to the growth plate is the unsolved part and systemic knockdown is exactly the whole-body exposure this programme is trying to avoid","indirect - acts on synthesis, one step removed from the protein",delivery to the nucleus of a chondrocyte in avascular matrix is the unsolved step; UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible but slow - knockdown persists past clearance of the agent,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,NOT APPLICABLE
NPR2 : CNP,NPR2,RIGHT_DIRECTION,protein replacement,supplies more of the active enzyme directly,"not applicable - the target is an inhibitor or receptor, not a deficient enzyme",bypasses the interface entirely - supplies activity downstream,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible; duration set by the half-life of the supplied protein,receptor agonism throughout a broadly expressed receptor's distribution,research reagents exist (29 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,0,,29,NOT APPLICABLE
