panel_id,compound,compound_family,panel_role,why_in_panel,primary_target_queried,test_concentrations,concentration_basis,concentration_source,chembl_id,is_fixed_control,target_geometry_class,inactive_analogue,has_inactive_analogue
GP12,SORAFENIB,LIMK inhibitor,LOCAL_DELIVERY_CANDIDATE,arm 2 of 2 for LIMK inhibitor; clean at its target but carries a systemic vascular or developmental-toxicity literature; only a local-exposure experiment is defensible,LIMK1,1.89 µM; 6.31 µM; 18.9 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 631 nM,CHEMBL1336,False,UNKNOWN,,False
GP13,FASUDIL,ROCK1/2 inhibitor,MECHANISTIC_PROBE,"arm 1 of 2 for ROCK1/2 inhibitor; appears in the geometry corpus without an axial measurement; usable as a probe, not a candidate",ROCK1,100 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC7925793 (mouse; human),CHEMBL38380,False,UNKNOWN,,False
GP14,SIMVASTATIN,RORalpha / lipid pathway,MECHANISTIC_PROBE,"arm 1 of 2 for RORalpha / lipid pathway; appears in the geometry corpus without an axial measurement; usable as a probe, not a candidate",HMGCR,10 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC11852791 (mouse; human),CHEMBL1064,False,UNKNOWN,,False
GP15,LECIMIBIDE,RORalpha / lipid pathway,MECHANISTIC_PROBE,"arm 2 of 2 for RORalpha / lipid pathway; clean and orderable, but no geometry evidence",SOAT1,0.03 µM; 0.1 µM; 0.3 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 10 nM,CHEMBL274185,False,UNKNOWN,,False
GP16,MBQ-167,Rho/Rac/Cdc42 modulator,MECHANISTIC_PROBE,"arm 1 of 2 for Rho/Rac/Cdc42 modulator; clean and orderable, but no geometry evidence",CDC42,0.234 µM; 0.78 µM; 2.34 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 78 nM,CHEMBL5290216,False,UNKNOWN,,False
GP17,BUMETANIDE,ion / volume regulation,SWELLING_CONTROL,arm 1 of 2 for ion / volume regulation; target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,SLC12A2,0.11µM; 100 µM; 175 µM; 200 µM; 500 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"PMC3154001, PMC4042480 (metatarsal/rat)",CHEMBL1072,False,CELL_SWELLING_ONLY,,False
GP18,AMILORIDE,ion / volume regulation,SWELLING_CONTROL,arm 2 of 2 for ion / volume regulation; target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,SLC9A1,20 nM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"PMC4462245, PMC7791185 (human/vertebral)",CHEMBL945,False,CELL_SWELLING_ONLY,,False
GP19,METHYLENE BLUE ANHYDROUS,microtubule regulator (non-mitotic),MECHANISTIC_PROBE,"arm 1 of 2 for microtubule regulator (non-mitotic); clean and orderable, but no geometry evidence",MAPT,1.08 µM; 3.6 µM; 10.8 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 360 nM,CHEMBL405110,False,UNKNOWN,,False
GP20,VISMODEGIB,polarity / cilia,LOCAL_DELIVERY_CANDIDATE,arm 1 of 2 for polarity / cilia; clean at its target but carries a systemic vascular or developmental-toxicity literature; only a local-exposure experiment is defensible,SMO,0.0045 µM; 0.015 µM; 0.045 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 1.5 nM,CHEMBL473417,False,,,False
GP21,CYCLOPAMINE,polarity / cilia,LOCAL_DELIVERY_CANDIDATE,arm 2 of 2 for polarity / cilia; clean at its target but carries a systemic vascular or developmental-toxicity literature; only a local-exposure experiment is defensible,SMO,1.45 µM; 4.84 µM; 14.5 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 484 nM,CHEMBL254129,False,,,False
GP22,CAPSAICIN,ion / volume regulation,SWELLING_CONTROL,depth in ion / volume regulation; target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,TRPV4,0.495 µM; 1.65 µM; 4.95 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 165 nM,CHEMBL294199,False,CELL_SWELLING_ONLY,,False
GP23,7-OXOCHOLESTEROL,RORalpha / lipid pathway,MECHANISTIC_PROBE,"depth in RORalpha / lipid pathway; clean and orderable, but no geometry evidence",RORA,1 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"PMC12037013, PMC4516504 (Tibiae/mouse/tibiae)",CHEMBL1278177,False,UNKNOWN,,False
GP24,CL-976,RORalpha / lipid pathway,MECHANISTIC_PROBE,"depth in RORalpha / lipid pathway; clean and orderable, but no geometry evidence",SOAT1,1.2 µM; 4 µM; 12 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 400 nM,CHEMBL22373,False,UNKNOWN,,False
GP25,ATORVASTATIN LACTONE,RORalpha / lipid pathway,MECHANISTIC_PROBE,"depth in RORalpha / lipid pathway; clean and orderable, but no geometry evidence",HMGCR,0.0318 µM; 0.106 µM; 0.318 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 10.6 nM,CHEMBL333687,False,UNKNOWN,,False
GP26,ENIPORIDE,ion / volume regulation,SWELLING_CONTROL,depth in ion / volume regulation; target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,SLC9A1,0.492 µM; 1.64 µM; 4.92 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 164 nM,CHEMBL64360,False,CELL_SWELLING_ONLY,,False
GP27,BI 9627,ion / volume regulation,SWELLING_CONTROL,depth in ion / volume regulation; target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,SLC9A1,0.0405 µM; 0.135 µM; 0.405 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 13.5 nM,CHEMBL2170610,False,CELL_SWELLING_ONLY,,False
GP28,vehicle replicate (plate corner),vehicle,PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,,n/a,not applicable - control well,,,True,,,False
GP29,vehicle replicate (plate corner),vehicle,PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,,n/a,not applicable - control well,,,True,,,False
GP30,vehicle replicate (plate corner),vehicle,PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,,n/a,not applicable - control well,,,True,,,False
GP31,vehicle replicate (plate corner),vehicle,PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,,n/a,not applicable - control well,,,True,,,False
GP32,untreated (no vehicle),none,VEHICLE_TOXICITY_CONTROL,"separates the DMSO effect from the zero effect, which matters because the geometry endpoints are sensitive to anything that stresses the explant",,n/a,not applicable - control well,,,True,,,False
GP33,"fluorescent penetration tracer, MW-matched to the panel median",tracer,PENETRATION_CONTROL,"cartilage is avascular and dense. Without evidence that anything reaches the terminal hypertrophic zone, a negative result means nothing, and this is the single control the entire stage-61 corpus never ran",,n/a,not applicable - control well,,,True,,,False
GP34,"fluorescent penetration tracer, MW-matched to the panel median",tracer,PENETRATION_CONTROL,"cartilage is avascular and dense. Without evidence that anything reaches the terminal hypertrophic zone, a negative result means nothing, and this is the single control the entire stage-61 corpus never ran",,n/a,not applicable - control well,,,True,,,False
GP35,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP36,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP37,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP38,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP39,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP40,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP41,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP42,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP43,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP44,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP45,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP46,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP47,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
GP48,additional explant replicate (arm assigned at randomisation),none,REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",,n/a,not applicable - control well,,,True,,,False
