variant,category,rationale,predicted_risk,predicted_stc2_resistance,predicted_activity,assay_order,assay,method,assay_required,assay_note,measured,status
wild-type PAPP-A,control,the reference every other variant is read against,none - it is the control,"none; fully inhibited, covalently",full,11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
wild-type PAPP-A,control,the reference every other variant is read against,none - it is the control,"none; fully inhibited, covalently",full,12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
catalytically dead (active-site Zn2+ ligand substitution),negative control,"distinguishes proteolysis from anything else the protein does - GAG binding, IGF sequestration, or a scaffolding effect",none - it is meant to be dead,irrelevant,"none, by design",12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,expected null; that is the point of the control,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
C732A,covalent-escape,the brief's starting construct; removes the only cysteine that links PAPP-A to STC2,"PREDICTED TO FAIL as a resistance strategy. The reciprocal variant STC2(C120A) cannot bind covalently and is still a relatively potent COMPETITIVE inhibitor, so removing the disulfide is expected to convert irreversible inhibition into reversible inhibition, not to abolish it",covalent only; noncovalent exosite binding intact,expected intact - C732 is not a catalytic residue - but UNMEASURED against intact IGFBP-4,12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
C732S,covalent-escape (conservative),conservative alternative at the same position; serine preserves sterics and hydrogen bonding better than alanine,same as C732A - the covalent bond is not what carries the inhibition,covalent only,"expected intact, UNMEASURED",12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
C732V,covalent-escape (conservative),isosteric-ish hydrophobic alternative; tests whether the local packing rather than the thiol matters,as above,covalent only,"expected intact, UNMEASURED",12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
