arm,chemical_class,is_independent_probe,endpoint_order,endpoint,method,unit,applicable,note,concentration_basis
scrambled / inactive peptide,peptide (inactive),False,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,matched to compound 23
compound 23,"ANP-derived armoured peptide, 11 residues",True,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,everything - a negative without penetration is uninterpretable,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,every efficacy endpoint,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,the mechanistic claim; distinguishes occupancy from mere presence,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the whole premise - if blocking clearance does not raise local CNP, nothing downstream is this mechanism",RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
compound 23,"ANP-derived armoured peptide, 11 residues",True,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,RANGE_UNDETERMINED - the affinity table is behind a paywall and no cartilage potency exists
M372049 (AZ12107657),peptidomimetic small molecule,True,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,everything - a negative without penetration is uninterpretable,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,every efficacy endpoint,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,the mechanistic claim; distinguishes occupancy from mere presence,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the whole premise - if blocking clearance does not raise local CNP, nothing downstream is this mechanism",RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
M372049 (AZ12107657),peptidomimetic small molecule,True,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,RANGE_UNDETERMINED - the published 15 mg/kg is a whole-animal dose and says nothing about an explant concentration
osteocrin,endogenous secreted protein,True,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,everything - a negative without penetration is uninterpretable,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,every efficacy endpoint,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,the mechanistic claim; distinguishes occupancy from mere presence,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the whole premise - if blocking clearance does not raise local CNP, nothing downstream is this mechanism",RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
osteocrin,endogenous secreted protein,True,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,RANGE_UNDETERMINED - must be set from a measured binding or cGMP response of the specific preparation
CNP,natriuretic peptide,False,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,everything - a negative without penetration is uninterpretable,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,every efficacy endpoint,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,False,"CNP is added exogenously, so NPR3 occupancy and endogenous CNP concentration are not this arm's readouts",RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,False,"CNP is added exogenously, so NPR3 occupancy and endogenous CNP concentration are not this arm's readouts",RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
CNP,natriuretic peptide,False,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,RANGE_UNDETERMINED - set from a measured cGMP response in this explant system
NPR2 blockade (epistasis),—,False,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
NPR2 blockade (epistasis),—,False,12,washout plateau,extended culture past reagent removal,micrometres,True,"read as a DIFFERENCE from each probe arm, never alone. Its purpose is to remove an effect, not to produce one",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
cANP(4-23) - wrong-direction control,truncated ANP analogue,False,12,washout plateau,extended culture past reagent removal,micrometres,True,"interpretable only for NPR3 Gi signalling. As an agonist it occupies the receptor like the probes but does not preserve ligand, so a length change here would indicate the phenotype is NOT clearance-mediated",RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,everything - a negative without penetration is uninterpretable,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,every efficacy endpoint,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,the mechanistic claim; distinguishes occupancy from mere presence,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the whole premise - if blocking clearance does not raise local CNP, nothing downstream is this mechanism",RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,RANGE_UNDETERMINED
established CNP/NPR2 growth control,natriuretic peptide analogue,False,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,RANGE_UNDETERMINED
