compound,node,requirement_id,requirement,criterion,note,currently_satisfiable,evidence,status
VISMODEGIB,SMO,R3,matching geometry AND length phenotype,"same direction on the height-to-width ratio and on plateau length, both beyond the stage-66 smallest detectable change","matching one and not the other is a different mechanism, not a replication",False,"requires stages 72-74, which have not run",NOT YET MEASURED
VISMODEGIB,SMO,R4,"a rescue, reversal or epistasis experiment",the phenotype is abolished by a manipulation that acts at or below the node,the only design that can prove the node is necessary rather than correlated,True,3 rescue designs specified: SMO agonist reversal; downstream GLI bypass; SMO drug-resistant mutant,NOT YET MEASURED
VISMODEGIB,SMO,R5,no shared dominant off-target at the active concentration,"the index and the comparator do not share a target that both engage at their working concentrations, computed from their full ChEMBL profiles",two compounds sharing an off-target is not orthogonal replication; it is the same experiment done twice,,computable from the two compounds' full ChEMBL profiles once a working concentration exists for each,NOT YET MEASURED
VISMODEGIB,SMO,R4-opp,opposing perturbation available,a compound that pushes the node the other way,reversal rather than epistasis,True,PURMORPHAMINE (audited as OPPOSING_PERTURBATION),NOT YET MEASURED
LX-7101,LIMK,R1,a structurally unrelated compound engaging the same molecular node,"Morgan (r=2, 2048-bit) Tanimoto < 0.40 to the index compound, and its own node potency within 10-fold of its own most potent protein target",stage 69 computed both for every proposed comparator,True,1 audited comparators pass: TH-257,NOT YET MEASURED
LX-7101,LIMK,R2,matching target engagement,"the comparator moves the same primary engagement marker, in the terminal hypertrophic zone, at its own selective concentration",a comparator that reproduces the phenotype without engaging the node has reproduced an off-target effect,False,"the index compound is not node-selective, so 'matching engagement' cannot be interpreted",NOT YET MEASURED
LX-7101,LIMK,R3,matching geometry AND length phenotype,"same direction on the height-to-width ratio and on plateau length, both beyond the stage-66 smallest detectable change","matching one and not the other is a different mechanism, not a replication",False,"requires stages 72-74, which have not run",NOT YET MEASURED
LX-7101,LIMK,R4,"a rescue, reversal or epistasis experiment",the phenotype is abolished by a manipulation that acts at or below the node,the only design that can prove the node is necessary rather than correlated,True,2 rescue designs specified: cofilin S3A epistasis; isoform knockdown,NOT YET MEASURED
LX-7101,LIMK,R5,no shared dominant off-target at the active concentration,"the index and the comparator do not share a target that both engage at their working concentrations, computed from their full ChEMBL profiles",two compounds sharing an off-target is not orthogonal replication; it is the same experiment done twice,,computable from the two compounds' full ChEMBL profiles once a working concentration exists for each,NOT YET MEASURED
BOSUTINIB,SRC,R1,a structurally unrelated compound engaging the same molecular node,"Morgan (r=2, 2048-bit) Tanimoto < 0.40 to the index compound, and its own node potency within 10-fold of its own most potent protein target",stage 69 computed both for every proposed comparator,True,"3 audited comparators pass: ECF506, DASATINIB, SARACATINIB",NOT YET MEASURED
BOSUTINIB,SRC,R2,matching target engagement,"the comparator moves the same primary engagement marker, in the terminal hypertrophic zone, at its own selective concentration",a comparator that reproduces the phenotype without engaging the node has reproduced an off-target effect,False,"the index compound is not node-selective, so 'matching engagement' cannot be interpreted",NOT YET MEASURED
BOSUTINIB,SRC,R3,matching geometry AND length phenotype,"same direction on the height-to-width ratio and on plateau length, both beyond the stage-66 smallest detectable change","matching one and not the other is a different mechanism, not a replication",False,"requires stages 72-74, which have not run",NOT YET MEASURED
BOSUTINIB,SRC,R4,"a rescue, reversal or epistasis experiment",the phenotype is abolished by a manipulation that acts at or below the node,the only design that can prove the node is necessary rather than correlated,True,1 rescue designs specified: target assignment before any rescue,NOT YET MEASURED
BOSUTINIB,SRC,R5,no shared dominant off-target at the active concentration,"the index and the comparator do not share a target that both engage at their working concentrations, computed from their full ChEMBL profiles",two compounds sharing an off-target is not orthogonal replication; it is the same experiment done twice,,computable from the two compounds' full ChEMBL profiles once a working concentration exists for each,NOT YET MEASURED
