arm,arm_role,arm_rationale,concentration_basis,schedule,schedule_definition,schedule_purpose,timepoints,primary_endpoint
chloroquine,orthogonal lysosomal probe,"unrelated chemotype, same axis","30 uM — as published, PMID 26259639",repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
chloroquine,orthogonal lysosomal probe,"unrelated chemotype, same axis","30 uM — as published, PMID 26259639",vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
hydroxychloroquine,translational analogue test,never tested in this assay,range-finding required; anchor to the chloroquine molar range,continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
hydroxychloroquine,translational analogue test,never tested in this assay,range-finding required; anchor to the chloroquine molar range,short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
hydroxychloroquine,translational analogue test,never tested in this assay,range-finding required; anchor to the chloroquine molar range,repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
hydroxychloroquine,translational analogue test,never tested in this assay,range-finding required; anchor to the chloroquine molar range,vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
IGF1,productive hypertrophic-anabolism control,the state-A benchmark,"100 ng/ml — as published, PMID 26259639",continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
IGF1,productive hypertrophic-anabolism control,the state-A benchmark,"100 ng/ml — as published, PMID 26259639",short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
IGF1,productive hypertrophic-anabolism control,the state-A benchmark,"100 ng/ml — as published, PMID 26259639",repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
IGF1,productive hypertrophic-anabolism control,the state-A benchmark,"100 ng/ml — as published, PMID 26259639",vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
Torin1,MTORC1-dependence control,"tests necessity, which stage 29 shows is unproven",as used in PMID 26259639 (dose-dependent in C5.18); ex vivo range-finding required,continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
Torin1,MTORC1-dependence control,"tests necessity, which stage 29 shows is unproven",as used in PMID 26259639 (dose-dependent in C5.18); ex vivo range-finding required,short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
Torin1,MTORC1-dependence control,"tests necessity, which stage 29 shows is unproven",as used in PMID 26259639 (dose-dependent in C5.18); ex vivo range-finding required,repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
Torin1,MTORC1-dependence control,"tests necessity, which stage 29 shows is unproven",as used in PMID 26259639 (dose-dependent in C5.18); ex vivo range-finding required,vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
SC79 (or MHY1485),cleaner non-lysosomal anabolism arm (stage 32),AKT/MTORC1 activation without lysosomal block,range-finding required — no cartilage data exist,continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
SC79 (or MHY1485),cleaner non-lysosomal anabolism arm (stage 32),AKT/MTORC1 activation without lysosomal block,range-finding required — no cartilage data exist,short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
SC79 (or MHY1485),cleaner non-lysosomal anabolism arm (stage 32),AKT/MTORC1 activation without lysosomal block,range-finding required — no cartilage data exist,repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
SC79 (or MHY1485),cleaner non-lysosomal anabolism arm (stage 32),AKT/MTORC1 activation without lysosomal block,range-finding required — no cartilage data exist,vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
concanamycin A,optional V-ATPase comparator,"second macrolide, same target",range-finding required; named but not quantified in the source paper,continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
concanamycin A,optional V-ATPase comparator,"second macrolide, same target",range-finding required; named but not quantified in the source paper,short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
concanamycin A,optional V-ATPase comparator,"second macrolide, same target",range-finding required; named but not quantified in the source paper,repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
concanamycin A,optional V-ATPase comparator,"second macrolide, same target",range-finding required; named but not quantified in the source paper,vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
