compound,node,required_step,why_this_step,blocked_by,status
VISMODEGIB,SMO,prove column effects are not general Hedgehog suppression,"this is the specific risk for this node. Ihh drives proliferation through PTHrP, so blocking SMO can shorten the bone by exhausting the plate while each surviving cell looks fine. The GLI2 epistasis arm is what separates 'SMO antagonism produced a shape change' from 'Hedgehog suppression consumed the growth plate'.",stage 74 has not run,NOT YET MEASURED
LX-7101,LIMK,repeat with a clean unrelated LIMK inhibitor,"**this is the primary experiment, not the confirmatory one.** Stage 69 found LX-7101's most potent protein targets are PKA and AKT, not LIMK2, so no LX-7101 result can be attributed to LIMK. TH-257 is the audited clean probe (LIMK2 primary, 3 targets under 1 uM, Tanimoto 0.14). Sorafenib is rejected.",stage 69: no node-selective concentration exists,NOT YET MEASURED
LX-7101,LIMK,confirm p-cofilin engagement,"necessary but not sufficient: slingshot and chronophin dephosphorylate the same Ser3 site, so p-cofilin can move without LIMK being the cause.",stage 69: no node-selective concentration exists,NOT YET MEASURED
LX-7101,LIMK,genetic LIMK1 versus LIMK2 perturbation,"separate knockdown, plus non-phosphorylatable cofilin S3A as the epistasis arm. S3A is the cleanest single experiment in the whole stage because the engagement marker and the epistasis node are the same molecule.",stage 69: no node-selective concentration exists,NOT YET MEASURED
BOSUTINIB,SRC,identify the actual causal target first,"**no replication or rescue is designed until a node is assigned.** Stage 69 found bosutinib engages 127 protein targets under 1 uM and that its most potent is ABL1, not SRC. The deconvolution panel runs cleaner single-node compounds side by side, each at its own selective concentration.",stage 69: no node-selective concentration exists,NOT YET MEASURED
BOSUTINIB,SRC,repeat with a cleaner inhibitor of that target,if and only if the deconvolution assigns a node. At that point the cleaner compound becomes the candidate and bosutinib becomes a historical artefact.,stage 69: no node-selective concentration exists,NOT YET MEASURED
BOSUTINIB,SRC,rescue genetically or pharmacologically,designable only after assignment; a rescue for an unassigned target is not interpretable.,stage 69: no node-selective concentration exists,NOT YET MEASURED
BOSUTINIB,SRC,reject if the phenotype cannot be assigned,the default outcome. A phenotype that cannot be assigned to a node is not a mechanism and cannot be promoted.,stage 69: no node-selective concentration exists,NOT YET MEASURED
Y-27632,ROCK,RESCUE: inhibitor-resistant ROCK re-expression,"Express a ROCK isoform carrying an ATP-pocket mutation that lowers Y-27632 affinity, in explants or in chondrocytes reaggregated into a pellet. If the geometry phenotype is on-target it is abolished in the resistant background. — cleanest possible on-target proof; distinguishes ROCK from every other kinase Y-27632 touches","genetic, feasible in transduced pellet culture; hard in intact explant",NOT YET MEASURED
Y-27632,ROCK,RESCUE: constitutively active ROCK / MLC phosphomimetic epistasis,"Co-deliver a constitutively active ROCK fragment, or a phosphomimetic MLC, alongside the inhibitor. If the phenotype is ROCK-substrate driven it is reversed downstream of the drug. — distinguishes 'ROCK activity' from 'actomyosin tension' as the operative variable",genetic; places the effect above or below MLC phosphorylation,NOT YET MEASURED
Y-27632,ROCK,RESCUE: isoform knockdown,"Partial shRNA/siRNA knockdown of ROCK1 versus ROCK2 separately. The isoform whose knockdown phenocopies is the necessary one. — answers stage 68's question 5, which chemistry cannot","genetic; the only route to the isoform question, since no available compound is isoform-selective enough",NOT YET MEASURED
SIMVASTATIN,HMGCR,RESCUE: mevalonate add-back,"Add mevalonate to the medium alongside the statin. Mevalonate is downstream of HMGCR, so a genuine HMGCR-mediated phenotype is rescued and an off-target one is not. This is the single most informative experiment in the whole statin arm. — if mevalonate does not rescue, the phenotype is not HMGCR and the statin arm ends","pharmacological, simple, no genetics needed",NOT YET MEASURED
SIMVASTATIN,HMGCR,RESCUE: branch-point add-back: GGPP versus FPP versus cholesterol,"Separate add-backs of geranylgeranyl pyrophosphate, farnesyl pyrophosphate and LDL/cholesterol. Whichever restores the phenotype identifies the branch: prenylation (GGPP/FPP) or sterol. — separates prenylation from cholesterol from RORalpha, which no statin alone can",pharmacological; the decomposition the brief explicitly asks for,NOT YET MEASURED
SIMVASTATIN,HMGCR,RESCUE: RORalpha-directed control,"A direct RORalpha inverse agonist/agonist run in parallel. If the statin phenotype is RORalpha-mediated, the direct ligand reproduces it and GGPP add-back does not rescue. — the anchor paper's RORalpha thread is tested rather than assumed",pharmacological; discriminates the third branch,NOT YET MEASURED
VISMODEGIB,SMO,RESCUE: SMO agonist reversal,Co-treat with a SMO agonist (purmorphamine or SAG). A competitive SMO-driven phenotype is reversed; an off-target one is not. — confirms the effect is at SMO rather than elsewhere in the cilium,pharmacological; direct opposing perturbation at the same protein,NOT YET MEASURED
VISMODEGIB,SMO,RESCUE: downstream GLI bypass,"Express constitutively active GLI2, or use a GLI antagonist, to place the phenotype above or below GLI. A SMO-driven phenotype is bypassed by active GLI. — separates 'SMO antagonism' from 'general Hedgehog suppression', which the brief requires",genetic; epistasis rather than reversal,NOT YET MEASURED
VISMODEGIB,SMO,RESCUE: SMO drug-resistant mutant,SMO D473H (the clinical vismodegib-resistance allele) re-expression. The phenotype should disappear in that background. — a resistance allele is the gold standard for target assignment,genetic; the strongest on-target proof available for this node,NOT YET MEASURED
LX-7101,LIMK,RESCUE: cofilin S3A epistasis,"Express non-phosphorylatable cofilin (S3A). LIMK acts by phosphorylating cofilin S3; if the phenotype runs through that phosphorylation it is abolished. — p-cofilin is both the engagement marker and the epistasis node, which is why LIMK is the cleanest of the five mechanistically",genetic; places the effect precisely at the LIMK-cofilin step,NOT YET MEASURED
LX-7101,LIMK,RESCUE: isoform knockdown,"Separate LIMK1 and LIMK2 knockdown. LIMK2 is the more highly expressed isoform in cartilage in several datasets, and the compound's isoform preference has to be matched against which isoform is necessary. — answers the LIMK1-versus-LIMK2 question chemistry cannot",genetic,NOT YET MEASURED
BOSUTINIB,SRC,RESCUE: target assignment before any rescue,"No rescue can be designed until the causal node is identified. Bosutinib engages a broad kinase set; the deconvolution experiment is a matched panel of cleaner single-node inhibitors run side by side at their own selective concentrations. — a rescue for an unassigned target is not interpretable, which is why bosutinib is held at DECONVOLUTION_REQUIRED","pharmacological deconvolution, not a rescue",NOT YET MEASURED
