mouse_gene,human_gene,priority_rank,priority_reason,pmid,doi,pmcid,title,journal,year,cited_by,gene_in_title,method_in_abstract,zone_in_abstract,why_this_record,url
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,15056720,10.1523/jneurosci.5241-03.2004,PMC2693074,Beta1-integrins are critical for cerebellar granule cell precursor proliferation.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2004,106,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1523/jneurosci.5241-03.2004
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,20124436,10.1096/fj.09-144659,PMC2874481,Granulin epithelin precursor: a bone morphogenic protein 2-inducible growth factor that activates Erk1/2 signaling and JunB transcription factor in chondrogenesis.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2010,103,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1096/fj.09-144659
Ddit4,DDIT4,1,held at SPATIAL_VALIDATION_PENDING since stage 40; intact-tissue localization is the single experiment that resolves GATE 0,21123297,10.1096/fj.10-172577,PMC3042839,Gene targeting by the vitamin D response element binding protein reveals a role for vitamin D in osteoblast mTOR signaling.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2011,88,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1096/fj.10-172577
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,16144844,10.1074/jbc.m504202200,PMC3937966,A novel role for GADD45beta as a mediator of MMP-13 gene expression during chondrocyte terminal differentiation.,The Journal of biological chemistry,2005,84,False,,prehypertrophic; hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1074/jbc.m504202200
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,22365545,10.1016/j.neuron.2011.11.036,PMC3292762,A cascade of morphogenic signaling initiated by the meninges controls corpus callosum formation.,Neuron,2012,81,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.neuron.2011.11.036
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37704733,10.1038/s41586-023-06519-1,PMC10829697,A vertebral skeletal stem cell lineage driving metastasis.,Nature,2023,67,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41586-023-06519-1
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,34137454,10.14670/hh-18-355,PMC8678381,The hypertrophic chondrocyte: To be or not to be.,Histology and histopathology,2021,66,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.14670/hh-18-355
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37730988,10.1038/s41586-023-06526-2,PMC10799660,A multi-stem cell basis for craniosynostosis and calvarial mineralization.,Nature,2023,60,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41586-023-06526-2
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,22621961,10.1210/en.2012-1328,PMC3404363,Embryonic birthdate of hypothalamic leptin-activated neurons in mice.,Endocrinology,2012,58,False,immunohistochemistry,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1210/en.2012-1328
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33301899,10.1016/j.matbio.2020.12.002,PMC8180533,Role of autophagy in intervertebral disc and cartilage function: implications in health and disease.,Matrix biology : journal of the International Society for Matrix Biology,2021,57,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.matbio.2020.12.002
Ddit4,DDIT4,1,held at SPATIAL_VALIDATION_PENDING since stage 40; intact-tissue localization is the single experiment that resolves GATE 0,33301899,10.1016/j.matbio.2020.12.002,PMC8180533,Role of autophagy in intervertebral disc and cartilage function: implications in health and disease.,Matrix biology : journal of the International Society for Matrix Biology,2021,57,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.matbio.2020.12.002
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,27471255,10.1242/dev.134502,PMC5004882,AP-1 family members act with Sox9 to promote chondrocyte hypertrophy.,"Development (Cambridge, England)",2016,56,False,,prehypertrophic; hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1242/dev.134502
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33658353,10.1126/scitranslmed.abb4416,PMC8590202,BMPR1A maintains skeletal stem cell properties in craniofacial development and craniosynostosis.,Science translational medicine,2021,55,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1126/scitranslmed.abb4416
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,18692570,10.1016/j.matbio.2008.07.001,PMC4013020,Specific expression of Cre recombinase in hypertrophic cartilage under the control of a BAC-Col10a1 promoter.,Matrix biology : journal of the International Society for Matrix Biology,2008,55,False,reporter mouse,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.matbio.2008.07.001
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,28069737,10.1128/mcb.00668-16,PMC5359426,mTORC1 Plays an Important Role in Skeletal Development by Controlling Preosteoblast Differentiation.,Molecular and cellular biology,2017,54,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1128/mcb.00668-16
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33021968,10.1172/jci138107,PMC7773357,Ventromedial hypothalamic primary cilia control energy and skeletal homeostasis.,The Journal of clinical investigation,2021,50,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1172/jci138107
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,29924882,10.1002/jbmr.3530,PMC6248888,Tsc1 Regulates the Balance Between Osteoblast and Adipocyte Differentiation Through Autophagy/Notch1/β-Catenin Cascade.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2018,45,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.3530
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,31430259,10.1172/jci130126,PMC6877304,Salt-inducible kinases dictate parathyroid hormone 1 receptor action in bone development and remodeling.,The Journal of clinical investigation,2019,42,False,,proliferative,closed-access record matching gene x growth-plate x method,https://doi.org/10.1172/jci130126
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,34162750,10.1126/scitranslmed.abb2233,PMC8638088,A self-amplifying loop of YAP and SHH drives formation and expansion of heterotopic ossification.,Science translational medicine,2021,41,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1126/scitranslmed.abb2233
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37683603,10.1016/j.stem.2023.08.004,PMC10790417,Lgr5-expressing secretory cells form a Wnt inhibitory niche in cartilage critical for chondrocyte identity.,Cell stem cell,2023,37,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.stem.2023.08.004
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37683603,10.1016/j.stem.2023.08.004,PMC10790417,Lgr5-expressing secretory cells form a Wnt inhibitory niche in cartilage critical for chondrocyte identity.,Cell stem cell,2023,37,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.stem.2023.08.004
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32816992,10.1074/jbc.ra120.014542,PMC7681030,Avian eggshell formation reveals a new paradigm for vertebrate mineralization via vesicular amorphous calcium carbonate.,The Journal of biological chemistry,2020,37,False,immunofluorescence,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1074/jbc.ra120.014542
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,29596063,10.1172/jci99350,PMC5983337,Neuronal hypothalamic regulation of body metabolism and bone density is galanin dependent.,The Journal of clinical investigation,2018,37,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1172/jci99350
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,30578870,10.1016/j.jaci.2018.10.070,PMC6556402,17β-Estradiol protects the esophageal epithelium from IL-13-induced barrier dysfunction and remodeling.,The Journal of allergy and clinical immunology,2019,36,False,immunofluorescence,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.jaci.2018.10.070
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,27578785,10.1242/dev.133967,PMC5087650,The LIM-homeobox transcription factor Isl1 plays crucial roles in the development of multiple arcuate nucleus neurons.,"Development (Cambridge, England)",2016,36,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1242/dev.133967
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,23765990,10.1002/dvdy.23999,PMC3877746,Investigation of retinoic acid function during embryonic brain development using retinaldehyde-rescued Rdh10 knockout mice.,Developmental dynamics : an official publication of the American Association of Anatomists,2013,35,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/dvdy.23999
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,29212950,10.1172/jci.insight.96728,PMC5752267,PI3Kα inactivation in leptin receptor cells increases leptin sensitivity but disrupts growth and reproduction.,JCI insight,2017,35,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1172/jci.insight.96728
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,36961765,10.1210/endrev/bnad009,PMC10502601,Molecular and Clinical Spectrum of Primary Hyperparathyroidism.,Endocrine reviews,2023,34,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1210/endrev/bnad009
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32380258,10.1016/j.bone.2020.115368,PMC7354209,Wnt signaling in chondroprogenitors during long bone development and growth.,Bone,2020,32,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2020.115368
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,34347142,10.1007/s00401-021-02355-7,PMC8544025,Evidence of disrupted rhombic lip development in the pathogenesis of Dandy-Walker malformation.,Acta neuropathologica,2021,29,False,immunohistochemistry; laser capture,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1007/s00401-021-02355-7
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,39014254,10.1038/s41584-024-01130-8,PMC11886400,"Integrin signalling in joint development, homeostasis and osteoarthritis.",Nature reviews. Rheumatology,2024,29,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41584-024-01130-8
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,14576352,10.1242/jcs.00772,,Defective endochondral ossification in mice with strongly compromised expression of JunB.,Journal of cell science,2003,27,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1242/jcs.00772
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,36376081,10.1101/cshperspect.a041232,PMC10153802,Plasticity of Epithelial Cells during Skin Wound Healing.,Cold Spring Harbor perspectives in biology,2023,25,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1101/cshperspect.a041232
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,29544022,10.1002/jbmr.3422,PMC6457245,The Deletion of Hdac4 in Mouse Osteoblasts Influences Both Catabolic and Anabolic Effects in Bone.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2018,24,False,immunohistochemistry,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.3422
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,28782836,10.1002/jbmr.3236,PMC5732041,Histone Deacetylase 3 Deletion in Mesenchymal Progenitor Cells Hinders Long Bone Development.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2017,24,False,lineage tracing,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.3236
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,38057475,10.1038/s41584-023-01052-x,PMC11674069,Profiling joint tissues at single-cell resolution: advances and insights.,Nature reviews. Rheumatology,2024,24,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41584-023-01052-x
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33355244,10.1158/1078-0432.ccr-20-2839,PMC8026499,VLA4-Targeted Nanoparticles Hijack Cell Adhesion-Mediated Drug Resistance to Target Refractory Myeloma Cells and Prolong Survival.,Clinical cancer research : an official journal of the American Association for Cancer Research,2021,24,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1158/1078-0432.ccr-20-2839
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,36973541,10.1038/s41401-023-01066-x,PMC10462682,Activating Wnt/β-catenin signaling by autophagic degradation of APC contributes to the osteoblast differentiation effect of soy isoflavone on osteoporotic mesenchymal stem cells.,Acta pharmacologica Sinica,2023,20,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41401-023-01066-x
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32413329,10.1016/j.devcel.2020.04.012,PMC7299199,Snai2 Maintains Bone Marrow Niche Cells by Repressing Osteopontin Expression.,Developmental cell,2020,18,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.devcel.2020.04.012
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37245640,10.1016/j.actbio.2023.05.039,PMC10617013,Synthetic peptides activating discoidin domain receptor 2 and collagen-binding integrins cooperate to stimulate osteoblast differentiation of skeletal progenitor cells.,Acta biomaterialia,2023,17,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.actbio.2023.05.039
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,21906594,10.1016/j.expneurol.2011.08.021,PMC3214620,Altered position of cell bodies and fibers in the ventromedial region in SF-1 knockout mice.,Experimental neurology,2011,15,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.expneurol.2011.08.021
Ddit4,DDIT4,1,held at SPATIAL_VALIDATION_PENDING since stage 40; intact-tissue localization is the single experiment that resolves GATE 0,36117450,10.1002/jbmr.4707,PMC9772060,Conditional Deletion of HIF-2α in Mouse Nucleus Pulposus Reduces Fibrosis and Provides Mild and Transient Protection From Age-Dependent Structural Changes in Intervertebral Disc.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2022,15,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.4707
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,39400124,10.1177/00220345241274354,PMC11653316,β-catenin Orchestrates Gli1+ Cell Fate in Condylar Development and TMJOA.,Journal of dental research,2024,14,False,lineage tracing,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1177/00220345241274354
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,39400124,10.1177/00220345241274354,PMC11653316,β-catenin Orchestrates Gli1+ Cell Fate in Condylar Development and TMJOA.,Journal of dental research,2024,14,False,lineage tracing,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1177/00220345241274354
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,35167946,10.1016/j.matbio.2022.02.002,PMC9606722,O-fucosylation of thrombospondin type 1 repeats is essential for ECM remodeling and signaling during bone development.,Matrix biology : journal of the International Society for Matrix Biology,2022,14,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.matbio.2022.02.002
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,27313212,10.1073/pnas.1605451113,PMC4941506,Cell type-specific control of protein synthesis and proliferation by FGF-dependent signaling to the translation repressor 4E-BP.,Proceedings of the National Academy of Sciences of the United States of America,2016,14,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.1605451113
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,35060644,10.1002/jbmr.4506,PMC9177786,Primary Cilia Direct Murine Articular Cartilage Tidemark Patterning Through Hedgehog Signaling and Ambulatory Load.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2022,13,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.4506
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32634285,10.1002/jbmr.4128,PMC9361511,CCN1/Cyr61 Is Required in Osteoblasts for Responsiveness to the Anabolic Activity of PTH.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2020,13,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.4128
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,30553437,10.1016/j.ajpath.2018.09.008,PMC6412713,Novel mTORC1 Mechanism Suggests Therapeutic Targets for COMPopathies.,The American journal of pathology,2019,13,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.ajpath.2018.09.008
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,30998833,10.1002/jbmr.3741,PMC6744351,"ΔFosB Requires Galanin, but not Leptin, to Increase Bone Mass via the Hypothalamus, but both are needed to increase Energy expenditure.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2019,13,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jbmr.3741
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37267917,10.1016/j.stem.2023.05.002,PMC10240254,Systematic dissection of coordinated stromal remodeling identifies Sox10<sup>+</sup> glial cells as a therapeutic target in myelofibrosis.,Cell stem cell,2023,12,False,lineage tracing,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.stem.2023.05.002
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32446700,10.1016/j.ydbio.2020.05.006,PMC9119583,GCN5 acetylation is required for craniofacial chondrocyte maturation.,Developmental biology,2020,12,False,,prehypertrophic; hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.ydbio.2020.05.006
Agrp,AGRP,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,27616671,10.1016/j.mce.2016.09.005,PMC5123967,Sox21 deletion in mice causes postnatal growth deficiency without physiological disruption of hypothalamic-pituitary endocrine axes.,Molecular and cellular endocrinology,2017,12,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.mce.2016.09.005
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,22179841,10.1007/s00018-011-0901-5,PMC3319484,GEP constitutes a negative feedback loop with MyoD and acts as a novel mediator in controlling skeletal muscle differentiation.,Cellular and molecular life sciences : CMLS,2012,11,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1007/s00018-011-0901-5
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,38477818,10.1093/jbmr/zjae029,PMC12147097,Matrix metalloproteinase-9 deficiency confers resilience in fibrodysplasia ossificans progressiva in a man and mice.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2024,11,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/jbmr/zjae029
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33022452,10.1016/j.bone.2020.115677,PMC7744341,Mesenchyme-specific loss of Dot1L histone methyltransferase leads to skeletal dysplasia phenotype in mice.,Bone,2021,11,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2020.115677
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,35754042,10.1038/s41388-022-02382-y,PMC9979947,Neuropilin-2 regulates androgen-receptor transcriptional activity in advanced prostate cancer.,Oncogene,2022,11,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41388-022-02382-y
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37842749,10.1152/ajpcell.00382.2023,PMC10861148,"MicroRNA-138: an emerging regulator of skeletal development, homeostasis, and disease.",American journal of physiology. Cell physiology,2023,10,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1152/ajpcell.00382.2023
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37842749,10.1152/ajpcell.00382.2023,PMC10861148,"MicroRNA-138: an emerging regulator of skeletal development, homeostasis, and disease.",American journal of physiology. Cell physiology,2023,10,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1152/ajpcell.00382.2023
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32978775,10.1111/nyas.14494,PMC7990741,Changes in DNA methylation accompany changes in gene expression during chondrocyte hypertrophic differentiation in vitro.,Annals of the New York Academy of Sciences,2021,9,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1111/nyas.14494
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,35398294,10.1016/j.bone.2022.116418,PMC9133231,"Overexpression of transcription factor FoxA2 in the developing skeleton causes an enlargement of the cartilage hypertrophic zone, but it does not trigger ectopic differentiation in immature chondrocytes.",Bone,2022,8,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2022.116418
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33393086,10.1002/jcp.30254,PMC8131218,The transcriptional cofactor Jab1/Cops5 is crucial for BMP-mediated mouse chondrocyte differentiation by repressing p53 activity.,Journal of cellular physiology,2021,7,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jcp.30254
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37558192,10.1016/j.bone.2023.116866,PMC10962865,G-protein coupled receptor 5C (GPRC5C) is required for osteoblast differentiation and responds to EZH2 inhibition and multiple osteogenic signals.,Bone,2023,7,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2023.116866
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37558192,10.1016/j.bone.2023.116866,PMC10962865,G-protein coupled receptor 5C (GPRC5C) is required for osteoblast differentiation and responds to EZH2 inhibition and multiple osteogenic signals.,Bone,2023,7,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2023.116866
