active_ingredient,source_type,pmid,pmcid,year,title,mentions_growth_effect,mentions_growth_harm,note
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),40389701,PMC12255621,2025,"Pharmacokinetics, Pharmacodynamics, and Safety of Nipocalimab in Healthy Chinese Volunteers: A Single-Dose, Phase I Study.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),37227625,PMC10209936,2023,Flower-like WSe<sub>2</sub> used as bio-matrix in ultrasensitive label-free electrochemical immunosensor for human immunoglobulin G determination.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),42273249,PMC13248184,2026,Beyond intestinal failure: Expanding therapeutic frontiers of glucagon-like peptide-2 in gastrointestinal disease.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41454663,PMC12743259,2026,Teduglutide in pediatric patients under 10 kg with short bowel syndrome on parenteral support: An open-label study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),,PMC12986471,2026,Effectiveness and Safety of Teduglutide Treatment in Adult Patients with Short Bowel Syndrome: A Case Series and Review of Current Evidence,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),42110144,PMC13151016,2026,PERCC1-associated enteropathy: Diagnostic challenges and enteral autonomy achieved with teduglutide.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41324792,PMC12858502,2026,Six-Month Safety and Effectiveness of Teduglutide in Patients with Short Bowel Syndrome in Japan: Interim Analysis of Post-marketing Surveillance.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41659989,PMC12881332,2026,Double-balloon enteroscopy evaluation and surveillance in patients with short bowel syndrome.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41550602,PMC12805952,2025,Real-world efficacy of long-term teduglutide use in pediatric patients with short bowel syndrome.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),40686679,PMC12274882,2025,Predictors of response and enteral autonomy in children with short bowel syndrome treated with teduglutide: a real-life multicentre cohort study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),40773292,PMC12487850,2025,Longitudinal single-cell analysis of glucagon-like peptide-2 treatment in patients with short bowel syndrome.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41545784,PMC12811208,2026,"Pharmacokinetics and Safety of Single-Dose Apraglutide in Individuals with Normal and Impaired Hepatic Function: A Phase 1, Open-Label Trial.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41058690,PMC12497622,2025,Biochemical markers and emerging therapies for intestinal manifestation of graft-versus-host disease.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TEDUGLUTIDE,regulatory / label-adjacent literature (Europe PMC),41608232,PMC12835516,2026,Drug-induced intestinal obstruction: insights from the FDA Adverse Event Reporting System.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),42421116,,2026,Sustained clinical benefit of idursulfase beta in mucopolysaccharidosis II: two-year experience from a phase 3 extension study including patients switched from idursulfase.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),39201256,PMC11354461,2024,Intravenous Idursulfase for the Treatment of Mucopolysaccharidosis Type II: A Systematic Literature Review.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),39252529,PMC12041835,2025,Evaluation of early treatment with intravenous idursulfase and intrathecal idursulfase-IT on cognitive function in siblings with neuronopathic mucopolysaccharidosis II.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),40569981,PMC12200698,2025,Nebulized and intravenous enzyme replacement therapy in mice with mucopolysaccharidosis type II.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),37915038,PMC10621086,2023,A post hoc analysis of Projected Retained Ability Scores (PRAS) for the longitudinal assessment of cognitive functioning in patients with neuronopathic mucopolysaccharidosis II receiving intrathecal idursulfase-IT.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),42345646,PMC13295430,2026,Advances in Therapeutic Options for Pulmonary and Sleep Disorders in Mucopolysaccharidosis (MPS) Patients: A Narrative Review.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),40223100,PMC11995577,2025,Clinical data required for the approval of pediatric pharmaceuticals in Japan.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),41744018,PMC12932008,2026,The imperative for national legislation on rare diseases in China: A policy review and call to action.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),39177874,PMC11358193,2024,Targeting Neurological Aspects of Mucopolysaccharidosis Type II: Enzyme Replacement Therapy and Beyond.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),35961250,PMC10826456,2022,Long-term open-label extension study of the safety and efficacy of intrathecal idursulfase-IT in patients with neuronopathic mucopolysaccharidosis II.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),36329518,PMC9635105,2022,Novel approach to idursulfase and laronidase desensitization in type 2 and type 1 S mucopolysaccharidosis (MPS).,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IDURSULFASE,regulatory / label-adjacent literature (Europe PMC),36027721,PMC10826424,2022,Intrathecal idursulfase-IT in patients with neuronopathic mucopolysaccharidosis II: Results from a phase 2/3 randomized study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),40433999,PMC12104674,2025,Evaluation of the pharmacokinetic interactions of montmorillonite powder or loperamide on pyrotinib in healthy volunteers.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),41676232,PMC12888886,2026,"Gastrointestinal toxicity of targeted cancer therapies in the United States: Clinicopathologic patterns, FDA safety frameworks, and implications for national patient protection.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),41710394,PMC12912077,2026,Strategies for Managing Fluids and Electrolytes in High-Output Stomas: A Systematic Review and Evidence Summary.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),,PMC13296460,2026,Dysregulation of the HSF1-Mediated UPRmt Pathway in Colonic Smooth Muscle Cells Drives Motility Dysfunction in Functional Constipation,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),40606525,PMC12221278,2025,"Prevention of sacituzumab govitecan-related neutropenia and diarrhea in patients with HER2-negative advanced breast cancer (PRIMED): an open-label, single-arm, phase 2 trial.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),42110144,PMC13151016,2026,PERCC1-associated enteropathy: Diagnostic challenges and enteral autonomy achieved with teduglutide.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),40567479,PMC12188530,2025,Identification of prochlorperazine dimaleate as a Sortase A inhibitor from FDA libraries for MRSA infection treatment.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),42291346,PMC13263868,2026,Lung cancer with &lt;i&gt;EGFR&lt;/i&gt; PACC mutations: a practical review of available treatment options and novel therapies on the horizon.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),41056437,PMC12611345,2025,"Efficacy and safety of pyrotinib in patients with previously treated HER2-positive non-breast solid tumors: a phase 2, open-label basket trial.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),41160302,PMC12647500,2025,A Retrospective Observational Study of Extended Adjuvant Neratinib for HER2-Positive Early-Stage Breast Cancer in a European Early Access Program.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),39777138,PMC11705327,2025,Racecadotril in the management of diarrhea: an underestimated therapeutic option?,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LOPERAMIDE,regulatory / label-adjacent literature (Europe PMC),41773262,PMC12949802,2026,Fibroblast Growth Factor Receptor (FGFR) Inhibitors for the Treatment of Cholangiocarcinoma: Key Therapeutic Developments and Knowledge Gaps.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),39201886,PMC11353265,2024,Systemic Adverse Events Associated with Locally Administered Corticosteroids.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),41672576,PMC12911765,2026,Functional respiratory imaging reveals early structural and functional airway responses to benralizumab in severe eosinophilic asthma.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),39734054,PMC12106962,2025,Ascertainment of Small Airways Dysfunction Using Oscillometry to Better Define Asthma Control and Future Risk: Are We Ready to Implement It in Clinical Practice?,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),42327894,PMC13275485,2026,Inhaled budesonide and beclomethasone for the prevention and treatment of bronchopulmonary dysplasia in very preterm infants: a prospective randomized controlled trial.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),41640839,PMC12864450,2026,"Biologic therapies for severe pediatric asthma: efficacy, safety, and biomarker-guided selection.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),40250558,PMC12240696,2025,Controversies in Allergy: Should I Combine an ICS With a SABA or With Formoterol for Reliever Therapy?,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),39347594,PMC11715152,2025,Inhaled corticosteroid delivery is markedly affected by breathing pattern and valved holding chamber model.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),39513639,PMC11731317,2025,Dangers of under-treatment and over-treatment with inhaled corticosteroids in children with asthma.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),40003269,PMC11854818,2025,Severe Asthma in School-Age Children: An Updated Appraisal on Biological Options and Challenges in This Age Group.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),38323186,PMC10839272,2024,Evolving treatment for prematurity-associated lung disease.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),41144874,PMC12780467,2026,Drugs in focus: Budesonide and its role in paediatric gastrointestinal disorders.,False,True,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
BECLOMETHASONE DIPROPIONATE,regulatory / label-adjacent literature (Europe PMC),37240597,PMC10219086,2023,Comparison of Intranasal Steroid Application Using Nasal Spray and Spray-Sol to Treat Allergic Rhinitis: A Preliminary Investigation.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),41606636,PMC13123228,2026,The International/Canadian hereditary angioedema guideline.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),41075106,PMC12618362,2025,Therapeutic Advances in Hereditary Angioedema: A Focus on Present and Future Options.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),40559541,PMC12196139,2025,Pathophysiology of COVID-19: A Post Hoc Analysis of the ICAT-COVID Clinical Trial of the Bradykinin Antagonist Icatibant.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),40869540,PMC12386469,2025,Bradykinin-Mediated Angioedema Induced by Drugs.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),40790079,PMC12340153,2025,Assessment of the myocardial effects of Bradykinin inhibitors by cardiac magnetic resonance (CMR) in discharged COVID-19 patients.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),41818404,PMC13134835,2026,Lanadelumab's Enduring Effectiveness and Safety in the Management of Hereditary Angioedema for Patients from Puerto Rico: Data from EMPOWER.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),42165046,PMC13184495,2026,"The 2025 WAO Guidelines for the classification, diagnosis, and treatment of hereditary angioedema, with consideration of worldwide disparities.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),40905425,PMC12697333,2025,Status quo and future developments in the diagnosis and treatment of hereditary angioedema.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),41723522,PMC13032356,2026,"Management of pregnancy, delivery and breast-feeding in hereditary angioedema: an analysis of 15 pregnancies with conventional treatment approaches and a case of Lanadelumab use.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),42136633,PMC13167535,2026,"Lanadelumab safety, efficacy, and pharmacokinetics in patients aged ≥12 with hereditary angioedema in China: an open-label, multicenter study.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),40171989,PMC11963219,2025,Effective long-term prophylaxis with lanadelumab in adolescents with hereditary angioedema: EMPOWER/ENABLE.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ICATIBANT,regulatory / label-adjacent literature (Europe PMC),41517437,PMC12786760,2025,Lanadelumab in Hereditary Angioedema: Real-World Outcomes and Implications for Access Practices in Europe.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),42194662,PMC13207014,2026,"Zastaprazan, a Novel Potassium-Competitive Acid Blocker, for Acid-Related Disorders.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),41567630,PMC12816232,2025,Esomeprazole inhibits proliferation of scleroderma fibroblasts via cell cycle regulation.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),41443608,PMC12737946,2026,Stability of Medications Administered via Enteral Feeding Tubes: A Systematic Review.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),41162347,PMC12571643,2025,Challenges in Extrapolating Healthy Volunteer Pharmacokinetics to Oncology Populations: Advocating for a Holistic Perspective.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),42022559,PMC13095749,2026,Real-world pharmacovigilance of drug-induced osteoporosis: a focus on antiretroviral therapy and toxicological mechanisms in the elderly.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),40623957,PMC12234264,2025,Safety of Proton Pump Inhibitor in Paediatrics: A Study Based on EudraVigilance Data.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),40755734,PMC12314673,2025,Drug treatment strategies for erosive esophagitis in adults: a narrative review.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
