pert_iname,primary_target,mechanism_family,role,smiles,vendor,catalog_no,expected_mass,solubility_constraint,exposure_schedule,concentration_basis,potency_nM,potency_parameter,potency_species,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,primary_screen_concentration_rule,range_finding_required,note
azelnidipine,CACNA1C,ion channel,discovery compound,"CC(C)OC(=O)C1=C(C)NC(N)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1 |r,c:6,11|",MedChemEx,HY-B0023,582.248,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
bempedoic-acid,ACLY,metabolic,discovery compound,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O,MedChemEx,HY-12357,344.256,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
benserazide,DDC,metabolic,discovery compound,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,Selleck,S2453,257.101,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),31622.777,pIC50,Human,94868.331,948683.31,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
benzbromarone,ABCC1,ion channel,discovery compound,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,Tocris,5420,421.915,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),3981.072,pIC50,Human,11943.216,119432.16,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
benzethonium,SCN10A,ion channel,discovery compound,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,MicroSource,1500138,412.322,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
bepridil,KCNQ4,ion channel,discovery compound,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Sigma,MFCD00065498,366.267,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),10000.0,pIC50,Rat,30000.0,300000.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
beta-hydroxy-beta-methylbutyrate,MTOR,kinase,discovery compound,CC(C)(O)CC(O)=O.CC(C)(O)CC(O)=O,CombiBlocks,QC-1944,118.063,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
butenafine,SQLE,metabolic,discovery compound,CN(Cc1ccc(cc1)C(C)(C)C)Cc1cccc2ccccc12,MedChemEx,HY-17396,317.214,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
butylphthalide,KCNK2,ion channel,discovery compound,"CCCC[C@H]1OC(=O)c2ccccc12 |&1:4,r|",MedChemEx,HY-B0647,190.099,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
camostat-mesilate,PRSS1,protease,discovery compound,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(N)=N)cc2)cc1,Tocris,3193,398.159,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
carglumic-acid,CPS1,metabolic,discovery compound,NC(=O)N[C@@H](CCC(O)=O)C(O)=O,MicroSource,1506153,190.059,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
cerulenin,FASN,metabolic,discovery compound,C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O,Enzo,G237,223.121,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
chlorogenic-acid,SLC37A4,transporter,discovery compound,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,Selleck,S2280,354.095,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
chlorproguanil,DHFR,metabolic,discovery compound,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)c(Cl)c1,AMS,A000012202,287.07,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
cilastatin,DPEP1,protease,discovery compound,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(O)=O)C(O)=O,Tocris,2709,358.156,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1000.0,pKi,Unknown,3000.0,30000.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
cilnidipine,CACNA1B,ion channel,discovery compound,"COCCOC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1 |&1:14,r,c:7,12|",Tocris,2629,492.19,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),199.526,pIC50,Rat,598.578,5985.78,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
cinacalcet,CASR,ion channel,discovery compound,C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c1cccc2ccccc12,Selleck,S1260,357.17,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),50118.723,pKi,Rat,150356.169,1503561.69,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
cobimetinib,MAP2K1,kinase,discovery compound,OC1(CN(C1)C(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F)[C@@H]1CCCCN1,MedChemEx,HY-13064,531.063,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),10000.0,pIC50,Human,30000.0,300000.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
cyclovalone,ABCG2,transporter,discovery compound,COc1cc(\C=C2/CCC\C(=C/c3ccc(O)c(OC)c3)C2=O)ccc1O,Sigma,MFCD00019515,366.147,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
diacerein,IL1B,growth factor / cytokine,discovery compound,CC(=O)Oc1cccc2C(=O)c3cc(cc(OC(C)=O)c3C(=O)c12)C(O)=O,MicroSource,1502010,368.053,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
dilazep,SLC29A1,transporter,discovery compound,COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1,Tocris,481,604.3,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1.0,pKi,Human,3.0,30.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
doxycycline,MMP8,protease,discovery compound,"C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c(O)cccc12 |a:1,2,3,5,6,18,&1:12,&2:22,c:22,t:11|",Selleck,S4163,498.141,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),50.119,pIC50,Plasmodium falciparum 3D7,150.357,1503.57,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
efinaconazole,CYP51A1,epigenetic (selective probe),discovery compound,"C[C@@H](N1CCC(=C)CC1)[C@@](O)(Cn1cncn1)c1ccc(F)cc1F |a:1,&1:9|",MedChemEx,HY-15660,348.176,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
enasidenib,IDH1,metabolic,discovery compound,CC(C)(O)CNc1nc(Nc2ccnc(c2)C(F)(F)F)nc(n1)-c1cccc(n1)C(F)(F)F,MedChemEx,HY-18690,473.14,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
encorafenib,BRAF,kinase,discovery compound,COC(=O)N[C@@H](C)CNc1nccc(n1)-c1cn(nc1-c1cc(Cl)cc(NS(C)(=O)=O)c1F)C(C)C,MedChemEx,HY-15605,539.152,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
entacapone,COMT,epigenetic (selective probe),discovery compound,CCN(CC)C(=O)C(=C\c1cc(O)c(O)c(c1)[N+]([O-])=O)\C#N,Selleck,S3147,305.101,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),0.316,pKi,Human,0.948,9.48,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
ertugliflozin,SLC5A2,transporter,discovery compound,CCOc1ccc(Cc2cc(ccc2Cl)[C@]23OC[C@](CO)(O2)[C@@H](O)[C@H](O)[C@H]3O)cc1,MedChemEx,HY-15461,436.129,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1995.262,pIC50,Human,5985.786,59857.86,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
escitalopram,SLC6A4,transporter,discovery compound,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,Tocris,4796,324.164,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1.995,pKd,Human,5.985,59.85,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
fostamatinib,SYK,kinase,discovery compound,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)N(COP(O)(O)=O)c4n3)n2)cc(OC)c1OC,Selleck,S2625,580.148,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
fumagillin,METAP2,protease,discovery compound,"CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O |a:2,3,6,10,13,&1:9|",MedChemEx,HY-B0751,458.23,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
isoconazole,CYP17A1,epigenetic (selective probe),discovery compound,Clc1ccc([C@@H](Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1 |&1:5|,MedChemEx,HY-B1444,413.986,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
ketoconazole,KCNA10,epigenetic (selective probe),discovery compound,"CC(=O)N1CCN(CC1)c1ccc(OC[C@@H]2CO[C@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1 |&1:15,18|",Tocris,1103,530.149,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),100.0,pKi,Human,300.0,3000.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
lenalidomide,TNF,growth factor / cytokine,discovery compound,"Nc1cccc2C(=O)N(Cc12)[C@H]1CCC(=O)NC1=O |&1:11,r|",Selleck,S1029,259.096,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1584.893,pIC50,Human,4754.679,47546.79,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
lesinurad,SLC22A12,transporter,discovery compound,OC(=O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,MedChemEx,HY-15258,402.999,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
