arm,agent,direction,endpoint_tier,endpoint,method,unit,applicable,note,concentration_basis
vehicle,assay buffer alone,—,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,not applicable
vehicle,assay buffer alone,—,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,not applicable
vehicle,assay buffer alone,—,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",not applicable
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,False,no active agent to detect; these wells define the assay background,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,False,no active agent to detect; these wells define the assay background,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,the direct substrate readout for PAPP-A; separates 'PAPP-A was released' from 'IGF went up for another reason',matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,the PAPP-A2 substrates. Measured separately from IGFBP-4 because the two enzymes are not interchangeable,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the proximal readout of the axis mechanism; free, not total, because total IGF is what the binding proteins hold and is not the active pool",matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,matched to the active arm it controls
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",matched to the active arm it controls
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,a negative result without penetration is uninterpretable - this is not optional,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,penetration is not engagement; the agent may reach the zone and not bind the target there,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,the direct substrate readout for PAPP-A; separates 'PAPP-A was released' from 'IGF went up for another reason',RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,the PAPP-A2 substrates. Measured separately from IGFBP-4 because the two enzymes are not interchangeable,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the proximal readout of the axis mechanism; free, not total, because total IGF is what the binding proteins hold and is not the active pool",RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),relieve inhibition of PAPP-A,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,a negative result without penetration is uninterpretable - this is not optional,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,"engagement for an added protein means demonstrating its activity in the tissue, not its binding",RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,the direct substrate readout for PAPP-A; separates 'PAPP-A was released' from 'IGF went up for another reason',RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,the PAPP-A2 substrates. Measured separately from IGFBP-4 because the two enzymes are not interchangeable,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the proximal readout of the axis mechanism; free, not total, because total IGF is what the binding proteins hold and is not the active pool",RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A augmentation,active recombinant PAPP-A protein,add protease activity directly,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,a negative result without penetration is uninterpretable - this is not optional,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,"engagement for an added protein means demonstrating its activity in the tissue, not its binding",RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,"IGFBP-4 is PAPP-A's substrate, not PAPP-A2's - measured here as a SPECIFICITY control, and a change would mean the two enzymes overlap more than stage 89 concluded",RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,the PAPP-A2 substrates. Measured separately from IGFBP-4 because the two enzymes are not interchangeable,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the proximal readout of the axis mechanism; free, not total, because total IGF is what the binding proteins hold and is not the active pool",RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,add the OTHER pappalysin's activity,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,a negative result without penetration is uninterpretable - this is not optional,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,"engagement for an added protein means demonstrating its activity in the tissue, not its binding",RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,the direct substrate readout for PAPP-A; separates 'PAPP-A was released' from 'IGF went up for another reason',RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
