mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Rc3h1,RC3H1,A_secondary_validated,KO_blocks_maturation,2.93841,2.93841,0.0,hypertrophic,resting,perichondrium,2.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cop1,COP1,A_secondary_validated,KO_blocks_maturation,2.93554,3.73554,0.8,,,,2.0,enzyme; transferase,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Lrp6,LRP6,A_secondary_validated,KO_promotes_maturation,2.91193,4.11193,1.2,proliferative,resting,perichondrium,2.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Washc1,WASH6P,A_secondary_validated,KO_blocks_maturation,2.90982,2.90982,0.0,,,,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cbfb,CBFB,A_secondary_validated,KO_blocks_maturation,2.90558,3.70558,0.8,shared,hypertrophic,proliferative,2.0,small-molecule pocket,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Suv39h1,SUV39H1,A_secondary_validated,KO_promotes_maturation,2.87471,4.17471,1.3,proliferative,proliferative,resting,,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Zdhhc5,ZDHHC5,A_secondary_validated,KO_blocks_maturation,2.85697,2.85697,0.0,shared,resting,prehypertrophic,3.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tmem184c,TMEM184C,A_secondary_validated,KO_blocks_maturation,2.84394,2.84394,0.0,shared,hypertrophic,resting,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kdm2a,KDM2A,A_secondary_validated,KO_blocks_maturation,2.81776,4.81776,2.0,shared,hypertrophic,hypertrophic,6.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Pebp1,,A_secondary_validated,KO_blocks_maturation,2.81592,2.81592,0.0,shared,resting,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Hnrnpc,HNRNPCL1,A_secondary_validated,KO_promotes_maturation,2.78831,3.58831,0.8,shared,hypertrophic,hypertrophic,,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Foxc1,FOXC1,A_secondary_validated,KO_blocks_maturation,2.77233,3.27233,0.5,hypertrophic,resting,perichondrium,4.0,,pleiotropic developmental gene (>150 mouse phenotype terms),"inhibit (delay hypertrophic transition, prolong growth window)"
Hdac5,HDAC5,A_secondary_validated,KO_promotes_maturation,2.70899,4.40899,1.7,hypertrophic,resting,perichondrium,2.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Bptf,BPTF,A_secondary_validated,KO_blocks_maturation,2.68321,4.68321,2.0,shared,resting,perichondrium,7.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Suz12,SUZ12,A_secondary_validated,KO_promotes_maturation,2.67039,4.27039,1.6,shared,proliferative,resting,4.0,small-molecule pocket,essential in a substantial minority of DepMap screens; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Traf3ip1,TRAF3IP1,A_secondary_validated,KO_promotes_maturation,2.65059,3.45059,0.8,shared,hypertrophic,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fuz,FUZ,A_secondary_validated,KO_promotes_maturation,2.60129,3.80129,1.2,shared,resting,resting,,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
ONE_INTERGENIC_SITE_2,,A_secondary_validated,KO_blocks_maturation,2.56687,2.56687,0.0,,,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Uhrf1bp1l,,A_secondary_validated,KO_blocks_maturation,2.56024,2.56024,0.0,shared,proliferative,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Vps29,VPS29,A_secondary_validated,KO_blocks_maturation,2.54157,3.34157,0.8,hypertrophic,hypertrophic,perichondrium,,small-molecule pocket,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Setd5,SETD5,A_secondary_validated,KO_blocks_maturation,2.53849,2.53849,0.0,shared,resting,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ckap2,CKAP2,A_secondary_validated,KO_blocks_maturation,2.50951,2.50951,0.0,proliferative,resting,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mtf2,MTF2,A_secondary_validated,KO_promotes_maturation,2.50775,3.30775,0.8,shared,proliferative,perichondrium,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Arrb2,ARRB2,A_secondary_validated,KO_promotes_maturation,2.48817,3.83102,1.34286,hypertrophic,hypertrophic,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fkbp1a,FKBP1A,A_secondary_validated,KO_promotes_maturation,2.48475,5.18475,2.7,shared,hypertrophic,perichondrium,3.0,enzyme; isomerase,essential in a substantial minority of DepMap screens; available compounds carry black-box warnings; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ift52,IFT52,A_secondary_validated,KO_promotes_maturation,2.48137,3.28137,0.8,proliferative,hypertrophic,perichondrium,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Clic1,CLIC1,B_primary_reproducible,KO_promotes_maturation,2.45973,3.25973,0.8,hypertrophic,resting,resting,1.0,enzyme; oxidoreductase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mettl14,METTL14,A_secondary_validated,KO_blocks_maturation,2.42149,4.42149,2.0,shared,hypertrophic,hypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Mib1,MIB1,A_secondary_validated,KO_promotes_maturation,2.41394,3.61394,1.2,proliferative,resting,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Zkscan3,ZKSCAN4,A_secondary_validated,KO_blocks_maturation,2.40621,2.40621,0.0,shared,proliferative,prehypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rxfp2,RXFP2,B_primary_reproducible,KO_promotes_maturation,2.382,3.182,0.8,proliferative,resting,hypertrophic,,gpcr; membrane receptor; receptor,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gnas,GNAS,A_secondary_validated,KO_promotes_maturation,2.3715,3.6715,1.3,proliferative,resting,prehypertrophic,14.0,,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gpr12,GPR12,B_primary_reproducible,KO_promotes_maturation,2.37033,3.17033,0.8,shared,proliferative,perichondrium,2.0,membrane receptor; receptor,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Glud1,GLUD2,A_secondary_validated,KO_blocks_maturation,2.3533,2.3533,0.0,shared,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gcgr,GCGR,B_primary_reproducible,KO_promotes_maturation,2.32554,3.52554,1.2,shared,resting,hypertrophic,,gpcr; membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pdpr,PDPR,A_secondary_validated,KO_blocks_maturation,2.28773,2.28773,0.0,shared,proliferative,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Wdr19,WDR19,B_primary_reproducible,KO_promotes_maturation,2.28497,3.08497,0.8,shared,resting,resting,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ppp2r5d,PPP2R5D,A_secondary_validated,KO_promotes_maturation,2.26433,3.56433,1.3,shared,proliferative,perichondrium,4.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pkia,PKIA,B_primary_reproducible,KO_promotes_maturation,2.23387,3.03387,0.8,shared,proliferative,proliferative,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Med26,MED26,A_secondary_validated,KO_blocks_maturation,2.23339,4.23339,2.0,proliferative,resting,resting,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Pax9,PAX9,A_secondary_validated,KO_promotes_maturation,2.22917,3.42917,1.2,shared,resting,hypertrophic,2.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
ONE_INTERGENIC_SITE_3,,A_secondary_validated,KO_blocks_maturation,2.22576,2.22576,0.0,,,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
ONE_INTERGENIC_SITE_7,,A_secondary_validated,KO_blocks_maturation,2.20421,2.20421,0.0,,,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
ONE_INTERGENIC_SITE_10,,A_secondary_validated,KO_blocks_maturation,2.19534,2.19534,0.0,,,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Aldh2,ALDH2,A_secondary_validated,KO_promotes_maturation,2.19016,4.51159,2.32143,proliferative,resting,prehypertrophic,3.0,enzyme; oxidoreductase,available compounds carry black-box warnings; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ralgapb,RALGAPB,A_secondary_validated,KO_promotes_maturation,2.1813,2.9813,0.8,shared,hypertrophic,prehypertrophic,,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slco2b1,SLCO2B1,B_primary_reproducible,KO_promotes_maturation,2.12767,3.42767,1.3,hypertrophic,hypertrophic,hypertrophic,1.0,transporter,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eif3h,EIF3H,A_secondary_validated,KO_blocks_maturation,2.11975,4.11975,2.0,shared,resting,prehypertrophic,8.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Ift57,IFT57,A_secondary_validated,KO_promotes_maturation,2.1039,2.9039,0.8,shared,hypertrophic,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ift172,IFT172,A_secondary_validated,KO_promotes_maturation,2.09315,2.89315,0.8,proliferative,resting,hypertrophic,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cplane2,CPLANE2,A_secondary_validated,KO_promotes_maturation,2.08264,2.88264,0.8,,,,,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ptges,PTGES,B_primary_reproducible,KO_promotes_maturation,2.0515,3.79435,1.74286,hypertrophic,hypertrophic,hypertrophic,,enzyme; isomerase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
P4hb,P4HB,B_primary_reproducible,KO_promotes_maturation,2.03726,3.33726,1.3,proliferative,hypertrophic,hypertrophic,,enzyme; isomerase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sox6,SOX6,A_secondary_validated,KO_promotes_maturation,2.01629,3.21629,1.2,proliferative,resting,hypertrophic,5.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Csde1,CSDE1,A_secondary_validated,KO_promotes_maturation,2.00692,3.60692,1.6,shared,hypertrophic,perichondrium,,antibody-accessible,essential in a substantial minority of DepMap screens,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mcu,MCU,B_primary_reproducible,KO_promotes_maturation,2.00008,2.80008,0.8,proliferative,resting,perichondrium,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Phf12,PHF12,A_secondary_validated,KO_blocks_maturation,1.9782,3.9782,2.0,proliferative,proliferative,prehypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Ankrd11,ANKRD11,A_secondary_validated,KO_blocks_maturation,1.97811,2.77811,0.8,hypertrophic,proliferative,hypertrophic,6.0,,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Irak2,IRAK2,B_primary_reproducible,KO_promotes_maturation,1.97594,2.77594,0.8,hypertrophic,hypertrophic,proliferative,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Itgb1,ITGB1,B_primary_reproducible,KO_promotes_maturation,1.95925,3.25925,1.3,hypertrophic,hypertrophic,hypertrophic,,membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hoxa11,HOXA11,A_secondary_validated,KO_promotes_maturation,1.94017,3.14017,1.2,proliferative,resting,proliferative,1.0,,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Agrp,AGRP,B_primary_reproducible,KO_promotes_maturation,1.93322,2.73322,0.8,proliferative,resting,resting,,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Bbc3,BBC3,A_secondary_validated,KO_promotes_maturation,1.92453,2.72453,0.8,hypertrophic,hypertrophic,resting,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rhog,RHOG,B_primary_reproducible,KO_promotes_maturation,1.87317,2.67317,0.8,hypertrophic,hypertrophic,perichondrium,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Akap13,AKAP13,B_primary_reproducible,KO_promotes_maturation,1.86765,3.16765,1.3,hypertrophic,resting,hypertrophic,13.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Arhgap1,ARHGAP1,B_primary_reproducible,KO_promotes_maturation,1.85654,2.65654,0.8,hypertrophic,resting,perichondrium,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ccnf,CCNF,B_primary_reproducible,KO_promotes_maturation,1.79334,2.59334,0.8,proliferative,proliferative,proliferative,3.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Brinp1,BRINP1,B_primary_reproducible,KO_promotes_maturation,1.77478,2.97478,1.2,shared,proliferative,proliferative,5.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tfap4,TFAP4,A_secondary_validated,KO_blocks_maturation,1.76107,2.56107,0.8,proliferative,resting,perichondrium,5.0,,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Hdlbp,HDLBP,B_primary_reproducible,KO_promotes_maturation,1.76013,2.56013,0.8,shared,hypertrophic,proliferative,8.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Snx7,SNX7,B_primary_reproducible,KO_promotes_maturation,1.74023,2.54023,0.8,shared,hypertrophic,prehypertrophic,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
