mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Lrp6,LRP6,A_secondary_validated,KO_promotes_maturation,2.91193,4.11193,1.2,proliferative,resting,perichondrium,2.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cbfb,CBFB,A_secondary_validated,KO_blocks_maturation,2.90558,3.70558,0.8,shared,hypertrophic,proliferative,2.0,small-molecule pocket,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Suv39h1,SUV39H1,A_secondary_validated,KO_promotes_maturation,2.87471,4.17471,1.3,proliferative,proliferative,resting,,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kdm2a,KDM2A,A_secondary_validated,KO_blocks_maturation,2.81776,4.81776,2.0,shared,hypertrophic,hypertrophic,6.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Foxc1,FOXC1,A_secondary_validated,KO_blocks_maturation,2.77233,3.27233,0.5,hypertrophic,resting,perichondrium,4.0,,pleiotropic developmental gene (>150 mouse phenotype terms),"inhibit (delay hypertrophic transition, prolong growth window)"
Hdac5,HDAC5,A_secondary_validated,KO_promotes_maturation,2.70899,4.40899,1.7,hypertrophic,resting,perichondrium,2.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Bptf,BPTF,A_secondary_validated,KO_blocks_maturation,2.68321,4.68321,2.0,shared,resting,perichondrium,7.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Suz12,SUZ12,A_secondary_validated,KO_promotes_maturation,2.67039,4.27039,1.6,shared,proliferative,resting,4.0,small-molecule pocket,essential in a substantial minority of DepMap screens; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fuz,FUZ,A_secondary_validated,KO_promotes_maturation,2.60129,3.80129,1.2,shared,resting,resting,,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Vps29,VPS29,A_secondary_validated,KO_blocks_maturation,2.54157,3.34157,0.8,hypertrophic,hypertrophic,perichondrium,,small-molecule pocket,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Arrb2,ARRB2,A_secondary_validated,KO_promotes_maturation,2.48817,3.83102,1.34286,hypertrophic,hypertrophic,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fkbp1a,FKBP1A,A_secondary_validated,KO_promotes_maturation,2.48475,5.18475,2.7,shared,hypertrophic,perichondrium,3.0,enzyme; isomerase,essential in a substantial minority of DepMap screens; available compounds carry black-box warnings; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mettl14,METTL14,A_secondary_validated,KO_blocks_maturation,2.42149,4.42149,2.0,shared,hypertrophic,hypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Mib1,MIB1,A_secondary_validated,KO_promotes_maturation,2.41394,3.61394,1.2,proliferative,resting,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gnas,GNAS,A_secondary_validated,KO_promotes_maturation,2.3715,3.6715,1.3,proliferative,resting,prehypertrophic,14.0,,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gcgr,GCGR,B_primary_reproducible,KO_promotes_maturation,2.32554,3.52554,1.2,shared,resting,hypertrophic,,gpcr; membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ppp2r5d,PPP2R5D,A_secondary_validated,KO_promotes_maturation,2.26433,3.56433,1.3,shared,proliferative,perichondrium,4.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Med26,MED26,A_secondary_validated,KO_blocks_maturation,2.23339,4.23339,2.0,proliferative,resting,resting,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Pax9,PAX9,A_secondary_validated,KO_promotes_maturation,2.22917,3.42917,1.2,shared,resting,hypertrophic,2.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Aldh2,ALDH2,A_secondary_validated,KO_promotes_maturation,2.19016,4.51159,2.32143,proliferative,resting,prehypertrophic,3.0,enzyme; oxidoreductase,available compounds carry black-box warnings; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slco2b1,SLCO2B1,B_primary_reproducible,KO_promotes_maturation,2.12767,3.42767,1.3,hypertrophic,hypertrophic,hypertrophic,1.0,transporter,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eif3h,EIF3H,A_secondary_validated,KO_blocks_maturation,2.11975,4.11975,2.0,shared,resting,prehypertrophic,8.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Ptges,PTGES,B_primary_reproducible,KO_promotes_maturation,2.0515,3.79435,1.74286,hypertrophic,hypertrophic,hypertrophic,,enzyme; isomerase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
P4hb,P4HB,B_primary_reproducible,KO_promotes_maturation,2.03726,3.33726,1.3,proliferative,hypertrophic,hypertrophic,,enzyme; isomerase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sox6,SOX6,A_secondary_validated,KO_promotes_maturation,2.01629,3.21629,1.2,proliferative,resting,hypertrophic,5.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Csde1,CSDE1,A_secondary_validated,KO_promotes_maturation,2.00692,3.60692,1.6,shared,hypertrophic,perichondrium,,antibody-accessible,essential in a substantial minority of DepMap screens,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Phf12,PHF12,A_secondary_validated,KO_blocks_maturation,1.9782,3.9782,2.0,proliferative,proliferative,prehypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Ankrd11,ANKRD11,A_secondary_validated,KO_blocks_maturation,1.97811,2.77811,0.8,hypertrophic,proliferative,hypertrophic,6.0,,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Itgb1,ITGB1,B_primary_reproducible,KO_promotes_maturation,1.95925,3.25925,1.3,hypertrophic,hypertrophic,hypertrophic,,membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hoxa11,HOXA11,A_secondary_validated,KO_promotes_maturation,1.94017,3.14017,1.2,proliferative,resting,proliferative,1.0,,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Akap13,AKAP13,B_primary_reproducible,KO_promotes_maturation,1.86765,3.16765,1.3,hypertrophic,resting,hypertrophic,13.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Brinp1,BRINP1,B_primary_reproducible,KO_promotes_maturation,1.77478,2.97478,1.2,shared,proliferative,proliferative,5.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tfap4,TFAP4,A_secondary_validated,KO_blocks_maturation,1.76107,2.56107,0.8,proliferative,resting,perichondrium,5.0,,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Kcns1,KCNS1,B_primary_reproducible,KO_promotes_maturation,1.73149,3.03149,1.3,proliferative,resting,hypertrophic,1.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eed,EED,A_secondary_validated,KO_promotes_maturation,1.63614,4.43614,2.8,proliferative,hypertrophic,proliferative,4.0,small-molecule pocket,essential in a substantial minority of DepMap screens; mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Myh9,MYH9,A_secondary_validated,KO_promotes_maturation,1.627,3.927,2.3,hypertrophic,hypertrophic,perichondrium,4.0,antibody-accessible,pan-essential in DepMap (>50% of screens gene effect < -0.5),activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hdac7,HDAC7,B_primary_reproducible,KO_promotes_maturation,1.5995,2.8995,1.3,hypertrophic,resting,perichondrium,2.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rpl29,RPL29,B_primary_reproducible,KO_promotes_maturation,1.59689,2.89689,1.3,proliferative,,prehypertrophic,2.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Lamc1,LAMC1,B_primary_reproducible,KO_promotes_maturation,1.58602,2.88602,1.3,hypertrophic,resting,perichondrium,9.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Msh2,MSH2,B_primary_reproducible,KO_promotes_maturation,1.57506,2.87506,1.3,proliferative,proliferative,perichondrium,3.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stat3,STAT3,B_primary_reproducible,KO_promotes_maturation,1.46924,3.19067,1.72143,hypertrophic,resting,hypertrophic,2.0,small-molecule pocket,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eef2k,EEF2K,B_primary_reproducible,KO_promotes_maturation,1.46298,2.76298,1.3,hypertrophic,hypertrophic,perichondrium,2.0,enzyme; kinase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Klhl6,KLHL6,B_primary_reproducible,KO_promotes_maturation,1.43998,2.63998,1.2,hypertrophic,hypertrophic,resting,,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Emp2,EMP2,B_primary_reproducible,KO_promotes_maturation,1.42522,2.72522,1.3,hypertrophic,resting,resting,1.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Edc4,EDC4,A_secondary_validated,KO_promotes_maturation,1.38334,3.48334,2.1,shared,resting,hypertrophic,,,essential in a substantial minority of DepMap screens; flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tmeff2,TMEFF2,B_primary_reproducible,KO_promotes_maturation,1.36266,2.66266,1.3,hypertrophic,proliferative,resting,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gpr162,GPR162,B_primary_reproducible,KO_promotes_maturation,1.34929,2.54929,1.2,proliferative,resting,prehypertrophic,,membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ogn,OGN,B_primary_reproducible,KO_promotes_maturation,1.30338,2.50338,1.2,proliferative,resting,proliferative,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stac2,STAC2,B_primary_reproducible,KO_promotes_maturation,1.29794,2.49794,1.2,hypertrophic,resting,perichondrium,1.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ptbp1,PTBP1,A_secondary_validated,KO_promotes_maturation,1.2578,4.0578,2.8,shared,hypertrophic,perichondrium,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mitf,MITF,B_primary_reproducible,KO_promotes_maturation,1.24989,2.54989,1.3,hypertrophic,hypertrophic,resting,,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gp1ba,GP1BA,B_primary_reproducible,KO_promotes_maturation,1.21302,2.51302,1.3,hypertrophic,proliferative,hypertrophic,1.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Atp23,ATP23,B_primary_reproducible,KO_promotes_maturation,1.20474,2.50474,1.3,,,,9.0,antibody-accessible,flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pou2af1,POU2AF1,B_primary_reproducible,KO_promotes_maturation,1.18941,1.98941,0.8,hypertrophic,hypertrophic,,,,annotated proto-oncogene - oncogenic liability,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Padi3,PADI3,B_primary_reproducible,KO_promotes_maturation,1.17408,2.47408,1.3,hypertrophic,resting,proliferative,,enzyme; hydrolase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Senp2,SENP2,B_primary_reproducible,KO_promotes_maturation,1.1725,2.4725,1.3,shared,hypertrophic,prehypertrophic,4.0,enzyme; protease,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rab40b,RAB40B,B_primary_reproducible,KO_promotes_maturation,1.14436,2.44436,1.3,proliferative,proliferative,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Map2k4,MAP2K4,B_primary_reproducible,KO_promotes_maturation,1.12109,2.84251,1.72143,shared,proliferative,perichondrium,2.0,enzyme; kinase,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Urod,UROD,A_secondary_validated,KO_promotes_maturation,1.10883,3.93026,2.82143,hypertrophic,hypertrophic,perichondrium,,enzyme; lyase,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Junb,JUNB,B_primary_reproducible,KO_promotes_maturation,1.05323,2.35323,1.3,hypertrophic,resting,resting,1.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slc2a1,SLC2A1,B_primary_reproducible,KO_promotes_maturation,0.94806,3.44806,2.5,shared,resting,prehypertrophic,4.0,transporter,essential in a substantial minority of DepMap screens; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stat5a,STAT5A,B_primary_reproducible,KO_promotes_maturation,0.89041,2.59041,1.7,proliferative,proliferative,resting,,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mbd5,MBD5,B_primary_reproducible,KO_promotes_maturation,0.68596,1.88596,1.2,shared,hypertrophic,perichondrium,4.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Crot,CROT,B_primary_reproducible,KO_promotes_maturation,0.65345,1.95345,1.3,hypertrophic,hypertrophic,proliferative,1.0,transporter,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Btf3l4,BTF3L4,A_secondary_validated,KO_blocks_maturation,0.64287,2.64287,2.0,shared,proliferative,hypertrophic,1.0,,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Bex1,BEX2,B_primary_reproducible,KO_promotes_maturation,0.60487,1.80487,1.2,proliferative,proliferative,prehypertrophic,,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
4930453N24Rik,C3orf38,B_primary_reproducible,KO_promotes_maturation,0.56541,2.16541,1.6,hypertrophic,proliferative,prehypertrophic,1.0,antibody-accessible,essential in a substantial minority of DepMap screens,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Emc3,EMC3,B_primary_reproducible,KO_promotes_maturation,0.47595,3.27595,2.8,shared,resting,resting,2.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gcn1,GCN1,A_secondary_validated,KO_blocks_maturation,0.37722,2.37722,2.0,,,,2.0,,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Zfp697,ZNF697,B_primary_reproducible,KO_promotes_maturation,0.29796,1.99796,1.7,shared,hypertrophic,prehypertrophic,2.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ppp2ca,PPP2CA,B_primary_reproducible,KO_promotes_maturation,0.2584,3.57983,3.32143,shared,hypertrophic,hypertrophic,1.0,enzyme; phosphatase,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Strap,STRAP,A_secondary_validated,KO_promotes_maturation,0.25195,3.55195,3.3,shared,hypertrophic,hypertrophic,,,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Zfp981,ZNF34,B_primary_reproducible,KO_promotes_maturation,0.24957,1.44957,1.2,,,hypertrophic,,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Nop58,NOP58,B_primary_reproducible,KO_promotes_maturation,0.21929,3.01929,2.8,proliferative,proliferative,proliferative,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tubgcp5,TUBGCP5,B_primary_reproducible,KO_promotes_maturation,0.20552,3.00552,2.8,shared,proliferative,proliferative,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pi4kb,PI4KB,B_primary_reproducible,KO_promotes_maturation,0.20446,2.70446,2.5,shared,hypertrophic,resting,1.0,enzyme; transferase,essential in a substantial minority of DepMap screens; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cope,COPE,B_primary_reproducible,KO_promotes_maturation,-0.03369,2.76631,2.8,proliferative,hypertrophic,hypertrophic,,antibody-accessible,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mcm10,MCM10,B_primary_reproducible,KO_promotes_maturation,-0.10209,1.99791,2.1,proliferative,proliferative,prehypertrophic,,,essential in a substantial minority of DepMap screens; flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ykt6,YKT6,B_primary_reproducible,KO_promotes_maturation,-0.11959,2.68041,2.8,shared,hypertrophic,prehypertrophic,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Copb2,COPB2,B_primary_reproducible,KO_promotes_maturation,-0.13218,2.66782,2.8,shared,resting,prehypertrophic,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tomm20,TOMM20,B_primary_reproducible,KO_promotes_maturation,-0.14491,2.65509,2.8,proliferative,hypertrophic,prehypertrophic,3.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Nae1,NAE1,B_primary_reproducible,KO_promotes_maturation,-0.24422,3.05578,3.3,shared,proliferative,prehypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tcp1,TCP1,B_primary_reproducible,KO_promotes_maturation,-0.25092,2.54908,2.8,proliferative,proliferative,,,enzyme; hydrolase,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ppa1,PPA1,B_primary_reproducible,KO_promotes_maturation,-0.26333,3.03667,3.3,proliferative,hypertrophic,hypertrophic,,enzyme; hydrolase,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hypk,HYPK,B_primary_reproducible,KO_promotes_maturation,-0.28407,2.51593,2.8,shared,proliferative,prehypertrophic,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
H2bc21,H2BC11,B_primary_reproducible,KO_promotes_maturation,-0.2921,2.5079,2.8,,,,2.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Prelid1,PRELID1,B_primary_reproducible,KO_promotes_maturation,-0.29228,2.50772,2.8,shared,hypertrophic,prehypertrophic,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
