mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Alad,ALAD,A_secondary_validated,KO_blocks_maturation,3.8776340899941855,3.8776340899941855,0.0,shared,resting,resting,3.0,enzyme; lyase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Lgr4,LGR4,A_secondary_validated,KO_promotes_maturation,3.813864873135669,4.613864873135668,0.8,proliferative,hypertrophic,proliferative,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smurf2,SMURF2,A_secondary_validated,KO_promotes_maturation,3.6041648193805047,4.4041648193805045,0.8,shared,hypertrophic,perichondrium,6.0,enzyme; transferase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Dcp2,DCP2,A_secondary_validated,KO_promotes_maturation,3.511267829631929,4.311267829631929,0.8,proliferative,hypertrophic,proliferative,3.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ctbp1,CTBP1,A_secondary_validated,KO_promotes_maturation,3.501595627013959,4.301595627013959,0.8,shared,resting,resting,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rbpj,RBPJ,A_secondary_validated,KO_promotes_maturation,3.4325298819975,4.2325298819975,0.8,shared,resting,resting,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Unc5b,UNC5B,A_secondary_validated,KO_promotes_maturation,3.3974946188789685,4.197494618878968,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kdelr2,KDELR2,A_secondary_validated,KO_blocks_maturation,3.3801681208822334,3.3801681208822334,0.0,proliferative,hypertrophic,proliferative,4.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pibf1,PIBF1,A_secondary_validated,KO_promotes_maturation,3.2947718696873025,4.494771869687303,1.2000000000000002,shared,proliferative,proliferative,2.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Wbp1l,WBP1L,A_secondary_validated,KO_blocks_maturation,3.2812561190673035,3.2812561190673035,0.0,hypertrophic,hypertrophic,perichondrium,5.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gramd1a,GRAMD1A,A_secondary_validated,KO_blocks_maturation,3.2781759486327893,3.2781759486327893,0.0,shared,resting,proliferative,1.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Vti1a,VTI1A,A_secondary_validated,KO_blocks_maturation,3.2566610216293936,3.2566610216293936,0.0,hypertrophic,hypertrophic,resting,5.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Afdn,AFDN,A_secondary_validated,KO_promotes_maturation,3.251481244841016,4.051481244841016,0.8,,,,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Acvr1,ACVR1,A_secondary_validated,KO_promotes_maturation,3.246858337757488,5.146858337757488,1.9,shared,resting,proliferative,1.0,enzyme; kinase,mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mtmr3,MTMR3,A_secondary_validated,KO_blocks_maturation,3.2363828054928385,3.2363828054928385,0.0,shared,resting,prehypertrophic,4.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sufu,SUFU,A_secondary_validated,KO_promotes_maturation,3.228398075952424,4.528398075952423,1.3,shared,hypertrophic,perichondrium,5.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cdyl,CDYL,A_secondary_validated,KO_promotes_maturation,3.1766480662413628,3.9766480662413626,0.8,shared,resting,prehypertrophic,1.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Vps37c,VPS37C,A_secondary_validated,KO_blocks_maturation,3.1013501002424517,3.1013501002424517,0.0,shared,resting,perichondrium,2.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pitrm1,PITRM1,A_secondary_validated,KO_blocks_maturation,3.085478462139971,3.8854784621399703,0.8,shared,proliferative,proliferative,3.0,enzyme,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Wdpcp,WDPCP,A_secondary_validated,KO_promotes_maturation,3.0621555186988827,3.8621555186988825,0.8,shared,resting,perichondrium,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Chd8,CHD8,A_secondary_validated,KO_blocks_maturation,3.051531644419096,3.851531644419096,0.8,shared,resting,hypertrophic,8.0,enzyme; hydrolase,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Tjap1,TJAP1,A_secondary_validated,KO_blocks_maturation,3.031823371262845,3.031823371262845,0.0,shared,proliferative,resting,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Arnt,ARNT,A_secondary_validated,KO_promotes_maturation,3.001587757330234,4.723016328758805,1.7214285714285715,shared,resting,resting,1.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Atp2b1,ATP2B1,A_secondary_validated,KO_blocks_maturation,2.982040785900171,2.982040785900171,0.0,shared,resting,prehypertrophic,1.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kif3b,KIF3B,A_secondary_validated,KO_promotes_maturation,2.974248587714647,3.774248587714647,0.8,shared,hypertrophic,proliferative,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Bambi,BAMBI,A_secondary_validated,KO_promotes_maturation,2.9701534498180377,4.170153449818038,1.2000000000000002,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rc3h1,RC3H1,A_secondary_validated,KO_blocks_maturation,2.9384118718570797,2.9384118718570797,0.0,hypertrophic,resting,perichondrium,2.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cop1,COP1,A_secondary_validated,KO_blocks_maturation,2.935538240533192,3.735538240533192,0.8,,,,2.0,enzyme; transferase,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Lrp6,LRP6,A_secondary_validated,KO_promotes_maturation,2.911929392499036,4.111929392499036,1.2000000000000002,proliferative,resting,perichondrium,2.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Zdhhc5,ZDHHC5,A_secondary_validated,KO_blocks_maturation,2.8569689352220142,2.8569689352220142,0.0,shared,resting,prehypertrophic,3.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tmem184c,TMEM184C,A_secondary_validated,KO_blocks_maturation,2.843943260982373,2.843943260982373,0.0,shared,hypertrophic,resting,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cbfb,CBFB,A_secondary_validated,KO_blocks_maturation,2.838914098005477,3.638914098005477,0.8,shared,hypertrophic,proliferative,2.0,small-molecule pocket,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Suv39h1,SUV39H1,A_secondary_validated,KO_promotes_maturation,2.808046903573633,4.108046903573633,1.3,proliferative,proliferative,resting,,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kdm2a,KDM2A,A_secondary_validated,KO_blocks_maturation,2.7510962343523357,4.751096234352335,2.0,shared,hypertrophic,hypertrophic,6.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Hdac5,HDAC5,A_secondary_validated,KO_promotes_maturation,2.7089851780862784,4.408985178086279,1.7000000000000002,hypertrophic,resting,perichondrium,2.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Suz12,SUZ12,A_secondary_validated,KO_promotes_maturation,2.6703887907040262,4.270388790704026,1.6,shared,proliferative,resting,4.0,small-molecule pocket,essential in a substantial minority of DepMap screens; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Bptf,BPTF,A_secondary_validated,KO_blocks_maturation,2.616540253875126,4.616540253875126,2.0,shared,resting,perichondrium,7.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Vps29,VPS29,A_secondary_validated,KO_blocks_maturation,2.541568057215457,3.341568057215457,0.8,hypertrophic,hypertrophic,perichondrium,,small-molecule pocket,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Arrb2,ARRB2,A_secondary_validated,KO_promotes_maturation,2.4881655855014104,3.8310227283585534,1.342857142857143,hypertrophic,hypertrophic,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Clic1,CLIC1,B_primary_reproducible,KO_promotes_maturation,2.459728535011456,3.2597285350114555,0.8,hypertrophic,resting,resting,1.0,enzyme; oxidoreductase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mettl14,METTL14,A_secondary_validated,KO_blocks_maturation,2.4214873057822635,4.421487305782264,2.0,shared,hypertrophic,hypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Fkbp1a,FKBP1A,A_secondary_validated,KO_promotes_maturation,2.4180845417276933,5.118084541727693,2.7,shared,hypertrophic,perichondrium,3.0,enzyme; isomerase,essential in a substantial minority of DepMap screens; available compounds carry black-box warnings; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mib1,MIB1,A_secondary_validated,KO_promotes_maturation,2.4139376034786664,3.6139376034786665,1.2000000000000002,proliferative,resting,perichondrium,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rxfp2,RXFP2,B_primary_reproducible,KO_promotes_maturation,2.381999268888605,3.1819992688886054,0.8,proliferative,resting,hypertrophic,,gpcr; membrane receptor; receptor,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gpr12,GPR12,B_primary_reproducible,KO_promotes_maturation,2.3703250348732583,3.1703250348732586,0.8,shared,proliferative,perichondrium,2.0,membrane receptor; receptor,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gcgr,GCGR,B_primary_reproducible,KO_promotes_maturation,2.325541699045721,3.5255416990457213,1.2000000000000002,shared,resting,hypertrophic,,gpcr; membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Wdr19,WDR19,B_primary_reproducible,KO_promotes_maturation,2.2849694719862743,3.084969471986274,0.8,shared,resting,resting,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pkia,PKIA,B_primary_reproducible,KO_promotes_maturation,2.2338731660982125,3.0338731660982123,0.8,shared,proliferative,proliferative,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Med26,MED26,A_secondary_validated,KO_blocks_maturation,2.2333947261409746,4.233394726140975,2.0,proliferative,resting,resting,,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Aldh2,ALDH2,A_secondary_validated,KO_promotes_maturation,2.1901578628266267,4.511586434255198,2.321428571428572,proliferative,resting,prehypertrophic,3.0,enzyme; oxidoreductase,available compounds carry black-box warnings; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slco2b1,SLCO2B1,B_primary_reproducible,KO_promotes_maturation,2.127668968203736,3.427668968203736,1.3,hypertrophic,hypertrophic,hypertrophic,1.0,transporter,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eif3h,EIF3H,A_secondary_validated,KO_blocks_maturation,2.1197495637792274,4.119749563779227,2.0,shared,resting,prehypertrophic,8.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Ptges,PTGES,B_primary_reproducible,KO_promotes_maturation,2.051495598286759,3.794352741143902,1.742857142857143,hypertrophic,hypertrophic,hypertrophic,,enzyme; isomerase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Csde1,CSDE1,A_secondary_validated,KO_promotes_maturation,2.0069202742356738,3.606920274235674,1.6,shared,hypertrophic,perichondrium,,antibody-accessible,essential in a substantial minority of DepMap screens,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mcu,MCU,B_primary_reproducible,KO_promotes_maturation,2.000077575713112,2.800077575713112,0.8,proliferative,resting,perichondrium,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Irak2,IRAK2,B_primary_reproducible,KO_promotes_maturation,1.975940637463818,2.775940637463818,0.8,hypertrophic,hypertrophic,proliferative,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
P4hb,P4HB,B_primary_reproducible,KO_promotes_maturation,1.97059381457894,3.27059381457894,1.3,proliferative,hypertrophic,hypertrophic,,enzyme; isomerase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Itgb1,ITGB1,B_primary_reproducible,KO_promotes_maturation,1.9592480567773711,3.259248056777371,1.3,hypertrophic,hypertrophic,hypertrophic,,membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Agrp,AGRP,B_primary_reproducible,KO_promotes_maturation,1.933218191543924,2.733218191543924,0.8,proliferative,resting,resting,,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Phf12,PHF12,A_secondary_validated,KO_blocks_maturation,1.9115355256535045,3.911535525653505,2.0,proliferative,proliferative,prehypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Rhog,RHOG,B_primary_reproducible,KO_promotes_maturation,1.8731671915762185,2.6731671915762183,0.8,hypertrophic,hypertrophic,perichondrium,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Akap13,AKAP13,B_primary_reproducible,KO_promotes_maturation,1.8676508019916835,3.167650801991684,1.3,hypertrophic,resting,hypertrophic,13.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Arhgap1,ARHGAP1,B_primary_reproducible,KO_promotes_maturation,1.856537333330521,2.656537333330521,0.8,hypertrophic,resting,perichondrium,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Brinp1,BRINP1,B_primary_reproducible,KO_promotes_maturation,1.774779254565825,2.974779254565825,1.2000000000000002,shared,proliferative,proliferative,5.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kcns1,KCNS1,B_primary_reproducible,KO_promotes_maturation,1.7314918039355744,3.0314918039355745,1.3,proliferative,resting,hypertrophic,1.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sec24b,SEC24B,B_primary_reproducible,KO_promotes_maturation,1.7076098420015986,2.507609842001598,0.8,shared,proliferative,proliferative,,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Dhrs7b,DHRS7B,B_primary_reproducible,KO_promotes_maturation,1.701698290035903,2.501698290035903,0.8,shared,hypertrophic,prehypertrophic,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hdlbp,HDLBP,B_primary_reproducible,KO_promotes_maturation,1.6934647753503425,2.4934647753503425,0.8,shared,hypertrophic,proliferative,8.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Snx7,SNX7,B_primary_reproducible,KO_promotes_maturation,1.6735660091424749,2.4735660091424747,0.8,shared,hypertrophic,prehypertrophic,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smpd4,SMPD4,B_primary_reproducible,KO_promotes_maturation,1.6697025935667351,2.469702593566735,0.8,shared,proliferative,,,enzyme; hydrolase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eed,EED,A_secondary_validated,KO_promotes_maturation,1.6361440942431429,4.436144094243143,2.8,proliferative,hypertrophic,proliferative,4.0,small-molecule pocket,essential in a substantial minority of DepMap screens; mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rln1,RLN1,B_primary_reproducible,KO_promotes_maturation,1.628027031184123,2.428027031184123,0.8,hypertrophic,hypertrophic,proliferative,,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
1600012H06Rik,C6orf120,B_primary_reproducible,KO_promotes_maturation,1.6102728492618563,2.4102728492618564,0.8,shared,resting,hypertrophic,,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hdac7,HDAC7,B_primary_reproducible,KO_promotes_maturation,1.5995021474675888,2.899502147467589,1.3,hypertrophic,resting,perichondrium,2.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hltf,HLTF,B_primary_reproducible,KO_promotes_maturation,1.5965214394409164,2.3965214394409164,0.8,proliferative,proliferative,hypertrophic,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mtpn,MTPN,B_primary_reproducible,KO_promotes_maturation,1.593166906963164,2.393166906963164,0.8,hypertrophic,hypertrophic,resting,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Msh2,MSH2,B_primary_reproducible,KO_promotes_maturation,1.5750599227118325,2.8750599227118325,1.3,proliferative,proliferative,perichondrium,3.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Myh9,MYH9,A_secondary_validated,KO_promotes_maturation,1.5603348345857335,3.860334834585733,2.3,hypertrophic,hypertrophic,perichondrium,4.0,antibody-accessible,pan-essential in DepMap (>50% of screens gene effect < -0.5),activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rpl29,RPL29,B_primary_reproducible,KO_promotes_maturation,1.5302214191048045,2.8302214191048045,1.3,proliferative,,prehypertrophic,2.0,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Lamc1,LAMC1,B_primary_reproducible,KO_promotes_maturation,1.5193547444724655,2.8193547444724656,1.3,hypertrophic,resting,perichondrium,9.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Osbpl5,OSBPL5,B_primary_reproducible,KO_promotes_maturation,1.5163104652619463,2.3163104652619464,0.8,hypertrophic,resting,proliferative,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stat3,STAT3,B_primary_reproducible,KO_promotes_maturation,1.4692393044799985,3.19066787590857,1.7214285714285715,hypertrophic,resting,hypertrophic,2.0,small-molecule pocket,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Eef2k,EEF2K,B_primary_reproducible,KO_promotes_maturation,1.4629795254737312,2.7629795254737317,1.3,hypertrophic,hypertrophic,perichondrium,2.0,enzyme; kinase,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Klhl6,KLHL6,B_primary_reproducible,KO_promotes_maturation,1.4399839380634596,2.63998393806346,1.2000000000000002,hypertrophic,hypertrophic,resting,,small-molecule pocket,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tm2d1,TM2D1,B_primary_reproducible,KO_promotes_maturation,1.4057979126750009,2.205797912675001,0.8,shared,resting,proliferative,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tmeff2,TMEFF2,B_primary_reproducible,KO_promotes_maturation,1.3626616017099975,2.6626616017099978,1.3,hypertrophic,proliferative,resting,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Emp2,EMP2,B_primary_reproducible,KO_promotes_maturation,1.358554921133133,2.658554921133133,1.3,hypertrophic,resting,resting,1.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gpr162,GPR162,B_primary_reproducible,KO_promotes_maturation,1.3492870551085423,2.5492870551085427,1.2000000000000002,proliferative,resting,prehypertrophic,,membrane receptor; receptor,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tmem147,TMEM147,B_primary_reproducible,KO_promotes_maturation,1.337698853072008,2.137698853072008,0.8,proliferative,hypertrophic,prehypertrophic,,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ogn,OGN,B_primary_reproducible,KO_promotes_maturation,1.3033787819046263,2.5033787819046265,1.2000000000000002,proliferative,resting,proliferative,,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stac2,STAC2,B_primary_reproducible,KO_promotes_maturation,1.297943525071537,2.497943525071537,1.2000000000000002,hypertrophic,resting,perichondrium,1.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slc35a2,SLC35A2,B_primary_reproducible,KO_promotes_maturation,1.250798222223265,2.050798222223265,0.8,shared,resting,prehypertrophic,,transporter,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
